60	6	3
60	12	5
60	18	6
60	24	6
60	30	5
60	36	6
60	42	6
60	48	6
60	54	6
60	60	7
70	7	5
70	14	5
70	21	6
70	28	6
70	35	6
70	42	6
70	49	7
70	56	6
70	63	6
70	70	9
80	8	1
80	16	3
80	24	3
80	32	3
80	40	3
80	48	3
80	56	4
80	64	3
80	72	6
80	80	6
90	9	4
90	18	5
90	27	5
90	36	5
90	45	5
90	54	5
90	63	6
90	72	5
90	81	5
90	90	9
100	10	3
100	20	3
100	30	3
100	40	3
100	50	4
100	60	5
100	70	4
100	80	5
100	90	5
100	100	4
110	11	1
110	22	2
110	33	3
110	44	3
110	55	4
110	66	4
110	77	3
110	88	4
110	99	6
110	110	3
120	12	5
120	24	5
120	36	5
120	48	5
120	60	5
120	72	5
120	84	5
120	96	5
120	108	8
120	120	7
130	13	3
130	26	3
130	39	3
130	52	4
130	65	4
130	78	5
130	91	4
130	104	6
130	117	6
130	130	5
140	14	3
140	28	2
140	42	2
140	56	2
140	70	2
140	84	2
140	98	2
140	112	2
140	126	5
140	140	6
150	15	2
150	30	3
150	45	3
150	60	3
150	75	3
150	90	3
150	105	3
150	120	5
150	135	4
150	150	7
160	16	3
160	32	3
160	48	3
160	64	4
160	80	3
160	96	3
160	112	5
160	128	5
160	144	5
160	160	6
170	17	1
170	34	1
170	51	2
170	68	1
170	85	1
170	102	2
170	119	1
170	136	1
170	153	3
170	170	6
180	18	2
180	36	2
180	54	3
180	72	4
180	90	3
180	108	4
180	126	3
180	144	3
180	162	5
180	180	6
190	19	1
190	38	1
190	57	1
190	76	1
190	95	2
190	114	1
190	133	1
190	152	2
190	171	4
190	190	7
200	60	1
200	80	1
200	100	1
200	120	2
200	140	2
200	160	1
200	180	4
200	200	5
210	21	3
210	42	3
210	63	3
210	84	4
210	105	3
210	126	4
210	147	4
210	168	5
210	189	5
210	210	8
220	22	1
220	44	1
220	66	1
220	88	2
220	110	1
220	132	1
220	154	3
220	176	3
220	198	5
220	220	7
230	46	1
230	138	1
230	161	4
230	207	1
230	230	3
240	24	3
240	48	3
240	72	3
240	96	3
240	120	4
240	144	4
240	168	6
240	192	4
240	216	6
240	240	6
250	25	1
250	50	1
250	75	1
250	100	1
250	125	1
250	150	2
250	175	2
250	200	2
250	225	5
250	250	5
