100
0.0	28.65	41.23	40.61	32.57	10.2	13.6	19.8	22.85	36.06	22.47	25.71	29.15	13.0	5.0	29.15	28.65	11.7	36.62	24.04	3.16	8.54	8.6	29.43	5.1	16.76	51.74	8.25	43.86	25.0	21.21	10.3	42.2	45.62	31.91	40.5	14.14	17.0	33.14	30.41	21.26	26.48	36.77	34.37	22.02	32.57	33.84	31.62	16.55	30.41	6.71	30.23	17.49	38.28	31.14	48.6	33.53	30.46	15.23	29.02	42.72	15.26	26.83	10.0	38.33	17.2	31.76	39.85	23.41	45.97	42.2	35.34	42.06	18.38	8.54	34.13	36.0	36.88	22.67	14.32	14.32	5.39	15.0	44.55	21.26	29.83	26.25	20.0	19.1	37.16	31.78	5.0	27.2	15.65	30.08	33.54	6.71	37.16	43.14	23.32	
28.65	0.0	15.52	39.62	47.43	19.21	30.23	11.0	38.48	9.22	26.68	43.38	51.31	36.8	31.02	40.26	40.52	38.29	35.36	32.02	30.87	28.64	30.81	19.42	33.54	42.43	50.0	34.83	44.55	5.1	10.05	18.36	16.49	37.58	31.06	30.87	27.0	24.17	13.6	10.3	29.41	19.03	49.24	56.6	13.34	24.74	42.43	6.4	12.21	2.0	23.41	31.0	16.03	29.15	12.53	45.22	25.0	3.61	19.0	15.52	15.03	25.06	26.02	20.52	12.65	15.0	3.16	13.15	6.71	46.69	48.0	7.07	36.06	10.63	20.25	55.57	17.8	42.01	32.57	23.32	14.42	32.31	16.12	46.39	31.95	8.06	22.0	9.22	12.0	9.06	48.47	33.11	6.08	18.0	7.21	5.1	29.73	49.03	44.41	5.39	
41.23	15.52	0.0	35.9	50.8	31.05	38.28	26.31	43.84	6.32	30.41	48.8	58.05	46.14	44.55	43.01	43.6	48.75	32.57	35.47	43.93	43.05	45.1	18.6	46.32	51.97	44.01	45.69	40.79	20.62	25.5	31.4	1.0	30.02	29.97	24.08	42.19	30.81	9.9	11.18	33.94	20.52	51.11	62.94	20.12	21.93	43.42	10.0	25.18	13.6	37.22	30.89	31.4	23.35	11.4	39.01	21.54	12.17	34.23	15.56	5.0	32.45	27.2	31.62	3.0	30.27	13.0	2.83	18.11	42.58	46.49	9.43	30.15	23.19	32.76	61.52	10.77	41.23	36.8	31.38	27.29	45.71	31.06	42.95	36.77	11.4	23.43	24.08	27.29	7.81	52.63	46.1	14.14	33.24	11.18	11.18	40.31	50.61	41.0	20.1	
40.61	39.62	35.9	0.0	22.8	34.83	27.78	42.95	23.35	37.05	18.38	26.0	35.23	34.18	45.61	17.0	18.0	38.63	4.47	17.0	43.6	48.1	48.92	20.22	44.1	38.08	11.4	38.01	5.0	41.76	43.46	37.8	36.14	10.3	9.43	12.53	51.74	24.04	28.02	30.07	19.42	20.88	20.12	38.08	27.86	15.03	13.34	35.06	36.24	39.32	42.45	10.63	46.14	12.65	28.02	8.06	15.0	37.22	46.87	24.19	40.79	25.5	15.26	33.3	35.36	44.78	40.2	37.48	34.48	7.07	11.4	40.0	7.07	35.34	36.88	36.14	25.32	8.54	18.79	26.87	36.36	45.8	43.57	7.07	20.12	32.14	18.38	40.31	43.38	40.05	25.71	44.65	33.54	46.32	33.14	40.05	34.67	19.24	5.1	38.9	
32.57	47.43	50.8	22.8	0.0	33.0	20.1	45.18	10.05	49.24	21.02	7.21	13.15	20.59	36.77	7.81	7.21	24.41	22.36	15.65	34.54	41.11	40.85	32.2	33.54	21.21	29.15	25.94	22.02	47.07	46.27	36.01	51.4	32.89	22.02	32.76	46.57	23.54	41.05	41.18	18.03	30.53	5.0	15.3	34.18	29.7	9.49	45.62	38.33	48.1	37.66	20.52	46.01	31.62	39.96	29.07	30.41	46.62	45.18	35.51	54.92	23.19	23.6	31.0	49.09	45.0	49.4	51.31	40.8	23.02	15.3	50.99	29.15	38.64	34.06	13.34	40.46	14.32	14.87	25.18	37.12	36.25	43.01	21.02	15.52	42.49	27.46	43.42	45.1	51.88	3.0	34.44	42.15	45.1	43.38	50.16	25.96	5.83	21.02	44.15	
10.2	19.21	31.05	34.83	33.0	0.0	13.15	12.65	23.02	26.0	16.64	27.29	33.62	18.03	14.04	27.46	27.29	19.1	30.48	20.25	13.04	14.32	15.81	20.25	15.3	23.43	46.23	15.62	38.83	16.4	13.93	3.16	32.02	38.01	25.5	32.25	16.97	11.18	23.02	20.22	17.09	17.46	36.22	39.0	12.04	24.19	31.32	21.54	7.07	20.81	8.06	24.21	13.04	30.02	21.02	42.45	25.06	20.59	12.65	19.24	32.7	10.44	19.8	2.0	28.16	12.0	22.2	29.73	13.42	41.05	39.0	25.55	34.83	8.6	2.24	38.28	26.08	33.11	19.65	8.54	5.0	15.0	10.05	39.96	18.44	19.65	18.03	11.66	12.37	27.29	33.14	15.13	17.09	12.37	19.92	23.85	10.63	36.35	38.28	14.14	
13.6	30.23	38.28	27.78	20.1	13.15	0.0	25.71	10.05	34.71	11.05	14.14	21.1	8.25	18.44	15.65	15.23	12.0	24.17	10.82	16.28	21.95	22.2	21.84	16.4	13.93	38.6	10.44	30.61	28.64	26.93	16.03	39.12	34.21	19.92	30.15	26.93	7.62	28.65	27.2	8.54	18.97	23.77	26.42	18.44	23.02	20.25	30.41	19.31	31.4	17.72	18.03	26.02	28.07	26.93	35.85	24.02	30.48	25.08	23.26	41.23	5.83	16.03	11.18	35.81	25.08	32.8	37.8	23.6	32.65	28.6	35.38	30.36	20.12	14.0	25.5	30.08	23.35	9.22	7.07	17.72	18.38	23.02	31.14	7.81	27.66	17.26	24.35	25.5	36.77	20.02	17.03	26.17	25.02	28.32	34.06	7.07	24.04	29.83	25.94	
19.8	11.0	26.31	42.95	45.18	12.65	25.71	0.0	35.36	20.1	26.48	39.81	46.24	30.41	21.1	39.01	39.0	30.81	38.48	31.14	21.4	18.03	20.25	24.21	24.21	35.51	54.12	27.2	47.54	6.08	1.41	10.3	27.29	43.42	33.62	36.88	16.0	22.02	21.95	18.36	28.07	22.47	48.0	51.62	15.26	29.41	42.3	16.49	7.07	13.0	13.6	32.89	5.1	34.83	20.25	49.74	30.0	14.14	8.0	21.21	26.02	22.02	27.86	14.56	23.35	4.0	14.04	24.08	10.0	49.77	49.24	18.03	41.05	7.62	12.53	50.92	26.08	43.17	31.02	20.02	8.06	22.47	5.39	49.04	30.0	16.55	24.6	2.83	1.0	20.02	45.54	23.6	13.42	7.0	16.16	16.03	22.83	48.01	47.17	6.32	
22.85	38.48	43.84	23.35	10.05	23.02	10.05	35.36	0.0	41.4	13.45	5.0	14.42	12.04	27.29	7.21	6.4	16.4	21.0	8.94	25.06	31.38	31.3	25.61	24.41	14.87	32.7	17.03	24.7	37.64	36.5	26.0	44.55	32.02	18.44	29.83	36.69	14.32	33.94	33.42	9.9	23.35	13.93	19.1	25.55	24.6	12.21	37.44	28.64	39.36	27.66	16.49	36.0	28.16	32.56	31.05	25.5	38.08	35.13	28.28	47.51	13.6	17.49	21.02	41.77	35.01	40.71	43.93	31.78	26.4	20.62	42.72	28.02	29.12	24.02	17.69	34.21	16.55	7.21	15.52	27.29	26.93	33.0	24.6	7.07	34.41	20.62	33.73	35.23	43.83	10.2	25.24	33.62	35.06	35.23	41.68	16.16	14.32	23.77	34.79	
36.06	9.22	6.32	37.05	49.24	26.0	34.71	20.1	41.4	0.0	28.3	46.4	55.23	42.2	39.05	41.59	42.06	44.42	33.24	33.62	38.6	37.22	39.32	17.72	41.11	48.01	46.27	41.18	42.05	14.32	19.24	25.96	7.28	32.76	29.83	26.31	36.06	27.59	9.06	8.06	31.62	18.79	50.16	60.31	16.28	22.2	42.72	4.47	19.65	7.28	31.58	30.36	25.18	25.08	9.49	41.3	22.09	6.0	28.07	13.93	6.71	29.0	26.0	26.83	3.61	24.08	6.71	4.0	12.65	44.01	46.87	3.61	32.14	17.72	27.51	59.03	12.17	41.23	34.67	27.66	21.84	40.26	25.0	44.1	34.41	7.07	21.93	18.0	21.1	3.0	50.77	40.8	8.94	27.07	6.4	5.0	35.85	49.77	42.11	14.0	
