25
0.0	3.61	5.66	12.73	3.16	7.28	7.07	10.77	9.85	11.05	6.32	13.04	5.39	11.31	8.6	7.28	5.1	9.49	3.0	8.0	14.87	11.4	6.4	12.21	5.0	
3.61	0.0	2.24	9.22	4.12	5.1	5.39	7.28	7.07	9.22	3.0	9.85	2.0	7.81	5.0	4.0	3.61	7.0	2.0	5.39	11.4	7.81	3.16	8.94	2.83	
5.66	2.24	0.0	7.07	5.1	3.61	4.24	6.0	5.0	7.62	2.83	7.62	2.24	5.66	3.16	3.61	3.16	5.1	4.12	5.66	9.22	5.83	1.0	6.71	4.12	
12.73	9.22	7.07	0.0	11.66	7.28	8.25	5.1	5.0	8.25	7.62	2.83	8.06	1.41	4.47	7.28	8.94	6.0	10.82	9.06	2.24	2.0	6.4	2.24	9.85	
3.16	4.12	5.1	11.66	0.0	5.0	4.47	11.05	7.81	8.25	7.07	11.31	6.08	10.3	8.25	8.06	2.83	7.21	5.0	9.49	13.6	10.77	5.39	10.63	6.71	
7.28	5.1	3.61	7.28	5.0	0.0	1.0	8.54	2.83	4.12	6.4	6.4	5.83	6.08	5.39	7.07	2.24	2.24	7.07	9.22	8.94	7.0	2.83	5.83	7.62	
7.07	5.39	4.24	8.25	4.47	1.0	0.0	9.49	3.61	4.0	7.07	7.21	6.4	7.07	6.32	7.81	2.0	2.83	7.28	9.9	9.85	8.0	3.61	6.71	8.06	
10.77	7.28	6.0	5.1	11.05	8.54	9.49	0.0	7.81	11.4	4.47	7.62	5.39	4.47	3.16	3.61	9.06	8.6	8.06	4.47	7.0	3.16	6.08	6.71	6.4	
9.85	7.07	5.0	5.0	7.81	2.83	3.61	7.81	0.0	3.61	7.28	3.61	7.07	4.12	5.0	7.62	5.0	1.0	9.06	9.85	6.32	5.39	4.0	3.16	9.06	
11.05	9.22	7.62	8.25	8.25	4.12	4.0	11.4	3.61	0.0	10.3	6.0	9.85	7.62	8.49	10.82	6.0	2.83	11.18	13.04	9.0	8.94	6.71	6.08	11.7	
6.32	3.0	2.83	7.62	7.07	6.4	7.07	4.47	7.28	10.3	0.0	9.06	1.0	6.32	3.16	1.0	5.83	7.62	3.61	2.83	9.85	5.83	3.61	8.06	2.24	
13.04	9.85	7.62	2.83	11.31	6.4	7.21	7.62	3.61	6.0	9.06	0.0	9.22	3.16	6.0	9.0	8.49	4.47	11.7	11.05	3.0	4.47	6.71	1.0	11.18	
5.39	2.0	2.24	8.06	6.08	5.83	6.4	5.39	7.07	9.85	1.0	9.22	0.0	6.71	3.61	2.0	5.0	7.28	2.83	3.61	10.3	6.4	3.16	8.25	2.0	
11.31	7.81	5.66	1.41	10.3	6.08	7.07	4.47	4.12	7.62	6.32	3.16	6.71	0.0	3.16	6.08	7.62	5.1	9.43	8.0	3.61	1.41	5.0	2.24	8.54	
8.6	5.0	3.16	4.47	8.25	5.39	6.32	3.16	5.0	8.49	3.16	6.0	3.61	3.16	0.0	3.0	6.0	5.66	6.4	5.1	6.71	2.83	3.0	5.0	5.39	
7.28	4.0	3.61	7.28	8.06	7.07	7.81	3.61	7.62	10.82	1.0	9.0	2.0	6.08	3.0	0.0	6.71	8.06	4.47	2.24	9.49	5.39	4.24	8.0	2.83	
5.1	3.61	3.16	8.94	2.83	2.24	2.0	9.06	5.0	6.0	5.83	8.49	5.0	7.62	6.0	6.71	0.0	4.47	5.39	8.6	10.82	8.25	3.0	7.81	6.4	
9.49	7.0	5.1	6.0	7.21	2.24	2.83	8.6	1.0	2.83	7.62	4.47	7.28	5.1	5.66	8.06	4.47	0.0	9.0	10.3	7.28	6.32	4.12	4.12	9.22	
3.0	2.0	4.12	10.82	5.0	7.07	7.28	8.06	9.06	11.18	3.61	11.7	2.83	9.43	6.4	4.47	5.39	9.0	0.0	5.0	13.04	9.22	5.1	10.77	2.0	
8.0	5.39	5.66	9.06	9.49	9.22	9.9	4.47	9.85	13.04	2.83	11.05	3.61	8.0	5.1	2.24	8.6	10.3	5.0	0.0	11.18	7.07	6.4	10.05	3.0	
14.87	11.4	9.22	2.24	13.6	8.94	9.85	7.0	6.32	9.0	9.85	3.0	10.3	3.61	6.71	9.49	10.82	7.28	13.04	11.18	0.0	4.12	8.49	3.16	12.08	
11.4	7.81	5.83	2.0	10.77	7.0	8.0	3.16	5.39	8.94	5.83	4.47	6.4	1.41	2.83	5.39	8.25	6.32	9.22	7.07	4.12	0.0	5.39	3.61	8.06	
6.4	3.16	1.0	6.4	5.39	2.83	3.61	6.08	4.0	6.71	3.61	6.71	3.16	5.0	3.0	4.24	3.0	4.12	5.1	6.4	8.49	5.39	0.0	5.83	5.1	
12.21	8.94	6.71	2.24	10.63	5.83	6.71	6.71	3.16	6.08	8.06	1.0	8.25	2.24	5.0	8.0	7.81	4.12	10.77	10.05	3.16	3.61	5.83	0.0	10.2	
5.0	2.83	4.12	9.85	6.71	7.62	8.06	6.4	9.06	11.7	2.24	11.18	2.0	8.54	5.39	2.83	6.4	9.22	2.0	3.0	12.08	8.06	5.1	10.2	0.0	
