85
0.0	5.83	1.0	13.45	31.38	26.0	32.76	17.26	23.09	6.4	20.02	24.08	25.0	22.36	24.74	15.03	26.17	9.85	15.62	27.17	20.25	16.16	12.53	12.08	16.76	13.0	22.8	12.21	29.68	19.0	8.6	3.16	14.76	24.19	22.83	27.66	15.65	13.04	20.62	32.76	25.24	14.76	18.44	29.41	27.17	8.0	16.16	29.41	17.69	14.21	18.87	13.04	26.0	23.54	15.52	12.81	17.46	12.08	7.81	24.84	25.5	24.33	11.05	11.66	24.17	17.12	11.18	7.07	28.16	28.32	18.38	25.06	20.22	13.34	8.6	20.81	26.42	10.82	32.2	19.72	27.07	9.22	7.62	19.31	12.04	
5.83	0.0	5.0	13.6	31.95	20.25	38.01	13.42	17.46	2.24	23.35	23.02	29.55	18.38	21.02	10.77	25.24	10.82	14.76	30.07	18.44	10.44	14.04	17.2	22.47	16.76	28.32	13.15	30.08	14.32	10.0	8.49	18.44	29.41	17.0	31.95	17.12	10.77	15.13	33.24	23.35	20.0	12.73	34.83	31.05	12.08	20.22	34.01	20.12	13.42	22.14	18.11	29.43	26.0	18.03	15.81	21.38	10.0	9.0	30.41	28.0	28.46	16.12	7.07	25.5	21.19	7.0	10.2	32.02	27.78	24.17	22.67	16.16	17.89	2.83	15.0	24.08	9.85	32.2	20.62	30.15	9.22	10.2	16.4	6.71	
1.0	5.0	0.0	12.81	30.89	25.08	33.29	16.28	22.14	5.83	20.0	23.35	25.3	21.38	23.77	14.04	25.46	10.3	14.87	27.07	19.42	15.23	12.08	12.53	17.72	13.04	23.43	11.66	29.15	18.0	8.06	3.61	15.65	24.7	21.95	27.89	15.23	13.0	19.65	32.25	24.41	15.26	17.69	30.0	27.29	8.06	17.09	29.73	18.44	13.45	19.72	14.04	26.02	23.35	15.3	13.6	18.38	11.18	7.21	25.5	25.32	24.52	12.04	11.18	23.77	17.26	10.77	7.81	28.28	27.66	19.31	24.19	19.24	13.6	7.81	20.0	25.55	10.0	31.62	19.24	27.02	9.49	7.28	18.38	11.4	
13.45	13.6	12.81	0.0	18.38	25.0	31.62	10.63	21.4	15.81	12.81	10.82	21.26	14.32	15.52	10.82	12.81	23.02	3.0	18.03	8.06	17.09	3.16	14.04	25.5	9.49	24.35	2.0	16.55	14.14	5.0	12.21	27.8	23.71	23.71	22.67	4.47	24.35	18.6	19.7	12.65	16.28	22.56	29.53	20.81	9.22	28.84	25.46	31.11	2.24	32.02	24.6	18.36	13.6	7.07	26.17	30.23	5.39	5.66	26.57	15.52	19.1	22.83	20.22	12.04	13.04	20.4	20.52	21.63	14.87	26.17	13.15	13.04	12.37	15.13	23.41	14.32	4.0	18.87	7.07	18.38	21.95	6.71	9.49	19.03	
31.38	31.95	30.89	18.38	0.0	37.85	33.02	24.02	34.53	34.18	16.55	11.18	23.19	23.77	22.47	26.02	9.49	41.18	17.46	13.0	16.03	33.02	18.87	26.4	38.83	21.26	31.32	19.24	2.0	27.17	22.83	29.41	44.69	28.64	38.21	22.0	15.81	42.72	32.25	1.41	13.93	26.93	39.05	33.14	19.0	24.84	45.28	25.02	48.6	18.68	48.92	40.31	16.03	11.7	16.97	43.6	46.69	22.56	23.71	32.98	11.18	20.22	38.9	38.33	7.81	20.59	38.6	38.28	19.03	6.71	38.59	16.16	24.33	23.6	33.24	39.01	15.65	22.14	3.16	11.66	14.0	40.25	23.85	20.1	36.88	
26.0	20.25	25.08	25.0	37.85	0.0	55.9	14.76	3.61	20.62	37.8	26.68	46.01	14.14	16.0	14.21	28.44	28.02	23.32	42.54	22.14	9.85	27.66	35.81	42.72	33.24	47.2	26.25	35.9	11.18	25.5	28.18	37.12	47.51	4.12	47.63	29.41	23.19	6.4	38.64	24.19	38.6	10.2	53.26	45.8	30.0	39.2	50.33	37.05	23.02	40.0	38.08	43.27	38.08	32.02	34.06	40.11	19.85	24.84	49.41	39.82	44.05	36.14	18.0	34.93	37.48	19.0	29.43	46.62	31.4	44.38	22.09	13.6	35.47	17.72	7.28	23.02	21.93	36.35	30.41	43.05	26.02	27.02	18.03	16.03	
32.76	38.01	33.29	31.62	33.02	55.9	0.0	42.2	52.4	39.12	19.7	37.0	10.77	45.79	46.53	41.87	37.36	39.22	34.13	20.02	38.01	46.69	28.6	20.81	23.02	22.67	10.44	30.0	33.14	45.61	30.41	29.68	35.23	8.6	53.76	11.05	27.78	44.78	49.58	34.0	40.5	18.03	50.61	4.0	14.04	26.25	34.06	8.0	40.2	33.84	38.01	29.27	17.12	22.56	24.7	36.67	35.01	36.24	31.11	9.06	22.2	13.6	29.61	44.42	27.66	18.6	43.91	35.11	14.0	36.67	21.0	42.15	44.65	20.52	40.8	52.5	42.72	34.06	36.06	29.15	19.03	39.92	29.0	40.82	44.65	
17.26	13.42	16.28	10.63	24.02	14.76	42.2	0.0	11.18	15.26	23.35	13.04	31.89	5.1	7.62	2.83	15.13	24.19	8.6	27.78	8.0	9.22	13.6	23.41	33.06	19.72	34.44	12.21	22.02	3.61	12.65	18.0	31.62	34.13	14.32	33.24	14.87	22.63	8.54	25.0	11.7	26.0	15.3	39.96	31.24	17.72	33.24	36.07	33.54	8.49	35.47	30.27	28.6	23.32	17.69	29.15	34.48	6.32	12.37	36.67	25.06	29.7	28.28	17.03	20.25	23.6	17.69	23.41	32.02	18.11	34.23	10.3	3.0	22.36	12.81	15.0	11.66	8.54	23.09	15.65	28.3	22.47	14.56	4.12	15.0	
23.09	17.46	22.14	21.4	34.53	3.61	52.4	11.18	0.0	18.11	34.21	23.35	42.45	11.0	13.15	10.63	25.18	26.08	19.72	38.95	18.68	7.07	24.08	32.45	39.85	29.73	43.83	22.67	32.56	7.62	22.02	25.08	35.0	44.05	4.47	44.05	25.81	21.84	2.83	35.36	21.02	35.23	9.43	49.82	42.2	26.63	37.01	46.75	35.36	19.42	38.12	35.51	39.66	34.48	28.43	32.02	38.0	16.28	21.4	46.04	36.24	40.46	33.54	16.28	31.38	33.94	17.26	27.07	43.01	28.16	41.44	19.0	10.2	32.02	15.13	7.07	20.02	18.38	33.14	26.83	39.45	24.08	23.6	14.56	14.14	
6.4	2.24	5.83	15.81	34.18	20.62	39.12	15.26	18.11	0.0	25.18	25.24	31.02	20.12	22.83	12.53	27.46	8.94	17.0	32.02	20.62	11.05	16.12	18.36	22.36	18.44	29.21	15.3	32.31	15.81	12.04	9.43	17.12	30.53	17.09	33.53	19.24	8.54	16.0	35.47	25.5	21.1	12.21	35.81	32.76	13.6	19.03	35.47	18.38	15.65	20.62	17.46	31.26	28.02	20.0	14.32	20.1	12.21	11.05	31.24	30.02	30.08	15.52	5.39	27.66	22.8	5.1	9.0	33.73	30.02	24.19	24.76	17.89	19.31	3.0	14.76	26.17	12.08	34.44	22.8	32.06	7.21	12.04	18.44	5.66	
