75
0.0	13.0	44.55	33.62	14.14	38.08	21.02	8.06	18.38	28.46	2.83	30.08	33.12	14.32	15.23	10.44	23.09	19.1	10.2	31.62	30.59	17.49	7.62	31.62	34.93	4.47	26.17	22.09	23.35	32.14	32.2	32.28	34.83	4.0	8.06	4.24	42.43	31.24	28.28	36.72	34.06	40.46	43.14	15.0	5.39	25.32	36.24	7.07	36.12	18.38	15.03	29.73	23.43	27.0	16.76	22.85	21.59	2.0	24.6	29.61	34.89	6.0	32.2	23.09	12.21	19.65	5.39	29.43	32.25	32.25	30.15	3.16	26.93	15.81	9.49	
13.0	0.0	36.72	31.0	17.8	33.54	24.19	5.1	18.03	27.29	15.13	29.43	29.15	21.26	15.65	4.24	11.4	24.21	3.61	19.72	30.81	15.52	6.71	22.2	23.6	11.7	19.65	24.6	24.7	19.24	23.02	20.12	28.46	9.0	16.12	10.44	34.48	25.0	15.52	32.39	27.51	31.62	34.99	19.85	15.81	26.57	25.5	13.89	27.78	13.0	20.52	21.93	15.81	14.0	17.89	21.38	22.47	13.15	22.09	29.83	24.08	7.0	21.26	27.46	7.62	7.81	8.25	30.08	36.24	21.93	34.0	16.03	14.76	9.0	18.36	
44.55	36.72	0.0	18.03	34.13	12.04	31.95	38.6	28.3	22.56	47.38	23.19	15.3	38.47	30.81	35.81	26.57	35.47	39.96	22.02	25.08	27.8	37.64	14.87	18.03	40.31	18.38	30.68	28.46	35.01	13.93	23.0	10.3	41.87	40.0	40.31	2.24	13.6	28.16	13.0	10.82	6.0	2.0	35.36	42.64	27.89	15.03	39.05	8.94	26.17	36.24	15.0	21.4	32.25	30.53	24.6	28.23	43.14	22.36	25.18	16.0	40.61	18.11	34.21	32.65	29.55	42.8	26.17	35.0	16.28	34.06	47.38	25.5	29.21	41.05	
33.62	31.0	18.03	0.0	20.25	6.32	15.62	30.41	15.23	5.66	36.25	5.39	3.61	23.35	18.38	28.16	25.63	19.21	33.14	27.02	7.07	16.49	28.64	18.38	25.5	29.15	13.0	14.21	12.04	38.95	17.69	28.43	9.85	32.28	26.93	29.73	17.03	9.9	30.89	5.1	10.3	18.68	18.03	20.62	30.02	10.82	23.6	26.83	15.65	18.0	21.26	14.21	16.76	34.01	17.0	10.77	12.81	31.78	9.22	7.28	23.43	31.78	23.35	17.0	24.19	26.68	33.96	8.25	17.03	21.21	16.03	35.78	27.29	22.0	27.2	
14.14	17.8	34.13	20.25	0.0	25.5	7.07	14.32	5.83	14.76	16.49	16.16	20.52	5.0	4.0	13.6	21.19	6.4	17.89	28.28	16.49	7.07	12.08	24.33	30.0	10.0	16.76	8.0	9.22	34.48	24.52	29.43	23.85	14.14	6.71	11.05	32.25	20.59	27.86	24.08	23.32	31.38	33.12	2.24	9.85	11.18	30.15	7.07	26.93	11.05	3.16	20.88	16.03	28.65	3.61	9.9	7.62	12.17	12.04	15.52	29.07	14.56	27.0	9.85	10.63	19.24	16.28	15.3	18.97	26.08	16.76	15.81	25.0	12.08	7.07	
38.08	33.54	12.04	6.32	25.5	0.0	21.63	33.84	20.0	11.66	40.82	11.7	5.0	29.07	23.02	31.32	26.17	25.24	36.14	25.5	13.34	20.59	32.31	16.55	23.02	33.62	14.04	20.25	18.03	38.28	15.65	26.83	6.71	36.25	32.02	34.0	11.4	9.06	30.36	1.41	7.62	13.89	12.37	26.17	35.0	17.0	20.62	31.62	12.04	20.88	26.91	13.34	18.03	33.96	22.02	15.62	18.44	36.36	13.6	13.6	20.81	35.47	21.47	23.26	27.51	28.0	37.7	14.56	23.02	19.24	22.2	40.5	26.93	24.74	32.56	
21.02	24.19	31.95	15.62	7.07	21.63	0.0	21.19	7.21	10.0	23.19	10.63	17.0	8.06	8.6	20.12	25.24	3.61	24.7	31.02	10.3	10.0	18.97	25.18	31.78	17.03	17.12	1.41	3.61	39.2	25.08	32.31	21.84	21.21	13.15	18.11	30.36	19.24	31.91	20.25	21.59	30.41	31.32	6.08	16.28	5.0	31.26	14.0	26.17	14.42	6.32	21.02	18.03	33.42	6.4	8.0	4.0	19.03	10.05	9.43	30.41	21.59	28.86	3.61	16.64	24.08	23.35	8.94	12.08	27.46	9.85	22.36	28.65	16.97	12.65	
8.06	5.1	38.6	30.41	14.32	33.84	21.19	0.0	16.03	26.02	10.44	28.0	29.12	17.03	13.15	2.83	15.23	20.59	3.61	23.77	29.07	14.04	2.24	24.76	27.29	6.71	20.59	21.84	22.36	24.33	25.46	24.35	29.53	4.12	11.4	5.39	36.4	25.94	20.22	32.57	28.65	33.97	37.01	16.12	10.77	24.33	28.84	9.22	29.83	13.0	16.64	23.6	17.2	19.03	15.3	20.02	20.22	8.06	21.21	28.07	27.46	2.24	24.7	24.17	6.32	11.7	4.24	28.16	33.24	25.0	31.02	11.18	18.97	9.43	13.6	
18.38	18.03	28.3	15.23	5.83	20.0	7.21	16.03	0.0	10.2	21.02	12.04	15.0	10.44	3.16	14.32	18.03	9.22	19.24	24.04	13.04	2.83	14.0	19.03	25.18	13.93	11.18	7.07	6.71	32.02	19.1	25.3	18.03	17.26	12.04	14.56	26.42	14.76	24.7	18.6	17.49	25.63	27.29	7.28	15.0	8.54	25.0	11.66	21.19	7.21	8.25	15.3	11.18	26.25	2.24	4.47	4.47	16.55	6.4	12.04	24.02	17.03	22.2	10.82	10.44	16.97	19.1	12.17	18.6	21.02	16.4	20.59	21.47	10.0	12.81	
28.46	27.29	22.56	5.66	14.76	11.66	10.0	26.02	10.2	0.0	31.02	2.24	7.28	17.69	13.34	24.02	23.85	13.6	29.02	27.02	4.24	12.0	24.08	19.24	26.42	24.04	12.04	8.6	6.4	37.8	18.79	28.43	13.0	27.46	21.47	24.74	21.21	11.4	29.83	10.3	13.04	22.02	22.2	15.0	24.6	5.39	25.08	21.54	18.25	14.56	15.62	14.76	15.0	32.45	11.7	6.0	7.21	26.57	5.39	3.61	24.6	27.17	23.85	11.7	20.02	24.17	29.27	4.47	13.93	21.95	12.37	30.46	26.25	18.44	21.63	
2.83	15.13	47.38	36.25	16.49	40.82	23.19	10.44	21.02	31.02	0.0	32.57	35.85	16.03	17.89	13.0	25.63	21.0	12.0	34.18	32.98	20.25	10.3	34.41	37.58	7.21	29.0	24.33	25.71	34.01	35.0	34.79	37.64	6.32	10.05	7.07	45.25	34.06	30.59	39.45	36.88	43.28	45.97	17.12	7.0	27.66	38.95	9.49	38.95	21.21	17.03	32.56	26.25	29.07	19.31	25.5	24.04	4.47	27.29	32.02	37.59	8.25	34.89	25.0	15.0	22.14	7.0	31.78	34.06	34.99	32.02	1.41	29.41	18.6	11.05	
30.08	29.43	23.19	5.39	16.16	11.7	10.63	28.0	12.04	2.24	32.57	0.0	8.0	18.6	15.13	26.08	26.08	14.14	31.06	29.07	2.24	14.04	26.02	21.1	28.3	25.71	14.14	9.22	7.21	40.0	20.59	30.48	14.14	29.27	22.85	26.48	22.02	13.0	32.02	10.44	14.32	23.19	23.02	16.12	26.0	5.66	26.83	23.09	19.65	16.76	16.64	16.64	17.2	34.67	13.34	8.06	8.54	28.16	7.62	2.0	26.42	29.07	25.81	11.66	22.09	26.4	31.14	3.0	12.37	23.85	11.05	31.95	28.43	20.62	22.83	
