65
0.0	25.61	7.81	29.15	9.49	5.1	13.0	20.4	21.63	11.18	29.0	8.25	13.15	22.8	25.3	18.87	28.18	12.81	4.47	24.84	10.2	11.7	6.32	14.0	8.06	14.32	21.02	18.03	20.22	16.12	6.32	22.85	5.83	3.16	15.13	7.0	25.02	12.04	6.32	5.0	14.87	26.25	20.02	16.76	27.73	7.62	9.06	25.71	14.14	5.83	16.55	20.4	17.72	17.69	21.47	12.04	4.24	22.83	9.06	3.61	2.0	19.42	13.34	8.6	9.43	
25.61	0.0	26.93	5.1	21.95	29.15	22.47	12.0	8.25	16.16	4.12	21.63	19.31	22.09	8.94	7.21	5.83	13.42	21.26	5.0	17.2	16.76	31.11	17.09	28.02	17.12	15.03	21.1	23.35	18.0	19.8	25.02	27.02	24.04	18.03	21.93	17.72	21.38	31.62	30.48	21.84	24.52	21.38	11.7	6.4	23.02	20.25	22.56	11.66	31.4	13.04	16.49	11.4	8.54	10.44	13.6	29.83	9.85	18.6	22.2	24.41	24.19	23.19	24.7	24.19	
7.81	26.93	0.0	31.32	16.64	5.0	20.25	25.08	20.81	10.77	29.53	15.26	19.7	29.55	29.07	21.38	30.81	13.6	9.85	24.7	15.52	10.3	12.37	19.92	15.81	11.31	26.48	12.65	14.14	12.21	11.7	30.02	13.6	10.63	11.4	5.1	30.81	7.21	8.06	10.2	21.95	33.11	14.56	21.02	30.59	15.0	6.71	32.31	15.52	9.0	15.0	16.64	22.02	18.38	19.85	14.14	9.22	21.26	14.87	7.62	6.4	13.04	7.28	16.28	17.03	
29.15	5.1	31.32	0.0	24.08	33.11	23.85	12.08	13.34	20.62	6.4	24.04	20.81	21.21	7.07	10.3	2.0	17.72	24.7	9.85	19.85	21.38	34.21	18.6	30.41	22.02	14.56	26.17	28.44	23.02	23.02	24.33	29.73	27.2	23.0	26.25	16.0	26.17	35.36	33.84	22.83	23.0	26.48	13.45	3.0	25.46	24.74	21.0	15.81	34.99	18.0	21.59	12.81	13.15	15.52	17.46	33.29	14.87	21.26	25.94	28.18	29.27	28.07	26.91	26.25	
9.49	21.95	16.64	24.08	0.0	14.56	3.61	13.04	21.21	13.6	25.94	1.41	4.12	13.34	18.6	14.76	22.63	13.04	7.07	23.09	5.1	14.87	11.4	5.83	6.4	18.03	12.65	23.26	25.94	20.25	5.83	13.42	6.32	6.32	19.31	13.45	16.12	18.03	15.03	12.04	5.39	16.76	25.08	10.63	21.93	2.0	14.42	16.28	13.04	14.0	18.11	23.54	11.31	16.28	22.02	11.0	12.0	23.09	4.0	9.22	10.3	25.55	20.0	2.83	2.24	
5.1	29.15	5.0	33.11	14.56	0.0	18.03	25.18	24.04	13.45	32.2	13.34	18.25	27.89	29.83	22.85	32.31	15.81	9.06	27.66	15.03	13.45	7.62	19.03	12.04	15.26	26.0	17.46	19.1	16.55	11.05	27.86	10.0	8.25	15.65	7.81	30.07	11.7	3.16	5.39	19.92	31.32	19.42	21.38	31.95	12.65	10.0	30.81	17.49	4.0	18.44	21.02	22.36	20.81	23.43	15.65	4.47	24.84	14.0	7.28	5.1	18.03	12.17	13.42	14.32	
13.0	22.47	20.25	23.85	3.61	18.03	0.0	12.04	23.0	16.55	26.57	5.0	3.16	10.05	17.69	15.52	22.2	15.52	10.63	24.33	7.28	17.89	14.04	5.39	8.25	21.02	10.82	26.42	29.15	23.26	9.22	9.85	9.0	9.85	22.36	16.97	13.6	21.4	18.25	15.03	2.0	13.34	28.18	10.77	21.4	5.39	17.8	13.04	15.13	17.12	20.62	26.25	11.18	18.0	24.08	13.34	15.13	25.02	6.71	12.81	13.89	28.84	23.43	5.0	4.0	
20.4	12.0	25.08	12.08	13.04	25.18	12.04	0.0	16.12	16.16	16.03	13.42	9.22	10.2	5.66	7.21	10.3	13.42	16.12	15.52	10.2	17.46	24.17	7.21	19.42	19.72	3.16	25.24	28.02	21.63	14.14	13.04	19.24	17.72	21.1	20.22	7.07	22.47	26.68	24.35	10.82	13.0	26.4	4.12	9.43	14.76	19.65	11.18	11.66	25.96	17.03	22.63	3.16	12.04	18.03	11.7	24.04	18.36	11.4	18.03	20.1	28.3	24.7	15.81	15.0	
21.63	8.25	20.81	13.34	21.21	24.04	23.0	16.12	0.0	10.63	9.22	20.4	20.02	26.0	15.62	8.94	13.93	8.94	17.89	4.12	16.12	10.63	27.78	18.11	26.25	9.85	19.24	13.0	15.13	10.2	17.09	28.46	24.7	21.02	10.44	16.28	23.02	14.32	26.91	26.63	23.09	29.07	13.15	13.6	14.32	21.59	14.21	27.29	8.25	27.02	5.83	8.25	13.93	5.0	2.24	10.44	25.81	2.24	17.26	18.03	20.0	16.03	15.81	23.54	23.35	
11.18	16.16	10.77	20.62	13.6	13.45	16.55	16.16	10.63	0.0	18.87	12.37	14.42	23.35	19.1	11.0	20.22	3.0	8.06	14.21	9.43	1.41	17.46	13.45	17.03	4.47	18.36	10.0	12.81	6.71	8.06	24.84	15.13	11.18	5.83	5.83	22.83	6.32	16.28	16.12	17.49	26.91	11.66	12.08	20.1	13.15	4.12	25.61	5.0	16.4	5.39	10.05	13.0	7.62	10.3	4.47	15.26	11.66	9.85	7.62	9.43	12.73	8.54	15.13	15.3	
29.0	4.12	29.53	6.4	25.94	32.2	26.57	16.03	9.22	18.87	0.0	25.55	23.41	26.02	12.37	11.18	8.06	16.4	24.76	5.1	21.1	19.24	34.71	21.19	31.91	18.97	19.0	22.09	24.0	19.42	23.43	29.0	30.81	27.66	19.65	24.7	21.38	23.41	34.83	33.94	25.96	28.28	22.0	15.81	8.94	26.93	22.83	26.31	14.87	34.71	14.87	17.0	15.52	11.4	11.05	16.97	33.24	10.0	22.47	25.5	27.66	25.02	25.0	28.65	28.18	
8.25	21.63	15.26	24.04	1.41	13.34	5.0	13.42	20.4	12.37	25.55	0.0	5.0	14.56	18.87	14.42	22.67	12.0	5.66	22.47	4.47	13.6	10.77	6.32	6.4	16.76	13.34	21.93	24.6	18.97	4.47	14.76	5.83	5.1	18.03	12.04	17.03	16.64	14.0	11.18	6.71	18.03	23.77	10.63	22.02	1.41	13.04	17.46	12.17	13.04	17.03	22.36	11.4	15.52	21.1	10.05	11.05	22.2	3.16	7.81	8.94	24.19	18.6	3.16	3.0	
13.15	19.31	19.7	20.81	4.12	18.25	3.16	9.22	20.02	14.42	23.41	5.0	0.0	9.85	14.87	12.37	19.21	13.0	9.85	21.21	5.0	15.81	15.52	2.24	10.3	18.87	8.54	24.41	27.2	21.1	8.06	10.63	10.44	10.05	20.25	15.81	12.04	19.8	19.0	16.12	3.16	13.42	26.08	7.62	18.44	6.08	16.28	12.65	12.37	18.03	18.03	23.77	8.06	15.03	21.21	10.77	16.03	22.09	5.0	12.08	13.6	27.02	21.93	6.71	5.83	
22.8	22.09	29.55	21.21	13.34	27.89	10.05	10.2	26.0	23.35	26.02	14.56	9.85	0.0	14.14	17.09	19.24	21.26	19.7	25.71	14.42	24.76	24.0	10.0	18.03	27.59	7.07	33.24	36.07	29.73	17.89	3.16	19.03	19.65	29.0	25.55	5.83	29.21	28.28	25.08	8.06	3.61	34.71	12.53	18.25	15.3	25.81	3.0	20.0	27.17	25.81	31.62	12.08	21.47	27.73	19.1	25.18	28.23	14.76	21.93	23.41	36.07	31.4	15.03	14.04	
25.3	8.94	29.07	7.07	18.6	29.83	17.69	5.66	15.62	19.1	12.37	18.87	14.87	14.14	0.0	8.25	5.1	16.12	20.88	13.6	15.23	20.22	29.53	12.81	25.0	21.84	7.62	26.93	29.55	23.41	18.97	17.26	24.7	22.85	23.09	24.02	9.06	25.32	31.62	29.55	16.4	16.03	27.73	8.54	4.12	20.25	23.02	14.04	14.14	31.02	18.38	23.32	7.62	13.0	17.8	15.0	29.15	17.69	16.55	22.56	24.74	30.08	27.46	21.4	20.62	
18.87	7.21	21.38	10.3	14.76	22.85	15.52	7.21	8.94	11.0	11.18	14.42	12.37	17.09	8.25	0.0	9.49	8.0	14.42	9.0	10.0	12.04	24.08	10.2	20.81	13.6	10.3	18.79	21.47	15.23	12.81	19.65	19.85	17.03	14.87	16.28	14.21	17.12	25.06	23.6	15.13	20.12	19.72	5.0	9.22	15.81	15.03	18.36	6.0	24.7	10.3	15.62	5.1	5.0	10.82	7.28	23.02	11.18	11.4	15.65	17.89	21.93	19.24	17.49	17.0	
