20
0.0	7.28	1.41	8.54	2.24	4.47	6.71	8.25	8.94	5.39	4.0	2.24	7.07	7.07	4.12	4.12	4.47	1.0	3.0	1.41	
7.28	0.0	8.06	1.41	7.21	5.0	5.66	4.12	2.24	4.47	7.28	6.0	3.0	9.43	8.25	6.32	3.0	6.32	4.47	8.54	
1.41	8.06	0.0	9.22	3.61	5.83	6.4	9.49	9.49	6.71	3.16	2.24	8.25	6.0	3.0	3.61	5.1	2.24	4.12	2.0	
8.54	1.41	9.22	0.0	8.6	6.4	5.83	5.0	1.0	5.83	8.06	7.07	4.12	9.85	9.06	7.07	4.12	7.62	5.83	9.85	
2.24	7.21	3.61	8.6	0.0	3.0	8.25	7.0	9.22	4.0	6.08	4.0	6.08	9.22	6.32	6.0	5.0	2.0	2.83	2.24	
4.47	5.0	5.83	6.4	3.0	0.0	8.06	4.0	7.21	1.0	7.21	5.0	3.16	10.3	7.81	6.71	4.0	3.61	2.24	5.1	
6.71	5.66	6.4	5.83	8.25	8.06	0.0	9.43	5.39	8.25	3.61	4.47	8.06	4.12	4.47	2.83	4.12	6.32	6.0	8.06	
8.25	4.12	9.49	5.0	7.0	4.0	9.43	0.0	6.0	3.0	10.0	8.06	1.41	12.73	10.82	9.22	5.66	7.28	5.39	9.06	
8.94	2.24	9.49	1.0	9.22	7.21	5.39	6.0	0.0	6.71	8.0	7.28	5.1	9.49	9.0	7.0	4.47	8.06	6.4	10.3	
5.39	4.47	6.71	5.83	4.0	1.0	8.25	3.0	6.71	0.0	7.81	5.66	2.24	10.82	8.49	7.21	4.12	4.47	2.83	6.08	
4.0	7.28	3.16	8.06	6.08	7.21	3.61	10.0	8.0	7.81	0.0	2.24	8.6	3.16	1.0	1.0	4.47	4.12	5.0	5.1	
2.24	6.0	2.24	7.07	4.0	5.0	4.47	8.06	7.28	5.66	2.24	0.0	6.71	5.39	2.83	2.0	3.0	2.0	2.83	3.61	
7.07	3.0	8.25	4.12	6.08	3.16	8.06	1.41	5.1	2.24	8.6	6.71	0.0	11.31	9.43	7.81	4.24	6.08	4.12	8.0	
7.07	9.43	6.0	9.85	9.22	10.3	4.12	12.73	9.49	10.82	3.16	5.39	11.31	0.0	3.0	3.61	7.07	7.28	8.06	8.0	
4.12	8.25	3.0	9.06	6.32	7.81	4.47	10.82	9.0	8.49	1.0	2.83	9.43	3.0	0.0	2.0	5.39	4.47	5.66	5.0	
4.12	6.32	3.61	7.07	6.0	6.71	2.83	9.22	7.0	7.21	1.0	2.0	7.81	3.61	2.0	0.0	3.61	4.0	4.47	5.39	
4.47	3.0	5.1	4.12	5.0	4.0	4.12	5.66	4.47	4.12	4.47	3.0	4.24	7.07	5.39	3.61	0.0	3.61	2.24	5.83	
1.0	6.32	2.24	7.62	2.0	3.61	6.32	7.28	8.06	4.47	4.12	2.0	6.08	7.28	4.47	4.0	3.61	0.0	2.0	2.24	
3.0	4.47	4.12	5.83	2.83	2.24	6.0	5.39	6.4	2.83	5.0	2.83	4.12	8.06	5.66	4.47	2.24	2.0	0.0	4.12	
1.41	8.54	2.0	9.85	2.24	5.1	8.06	9.06	10.3	6.08	5.1	3.61	8.0	8.0	5.0	5.39	5.83	2.24	4.12	0.0	
