55
0.0	14.32	7.81	8.54	13.0	14.42	17.0	15.81	12.04	11.18	15.0	17.0	12.53	17.09	14.04	14.14	12.73	11.31	15.65	13.0	5.0	12.17	9.22	10.0	8.6	2.24	6.4	5.1	15.62	16.4	17.89	18.03	13.15	7.81	11.7	2.24	3.16	9.43	21.63	11.66	4.0	17.89	8.6	17.46	8.54	19.24	8.94	14.56	7.07	13.42	10.3	10.2	6.0	11.4	8.94	
14.32	0.0	9.49	22.8	2.83	11.18	4.24	22.47	17.49	3.16	10.3	5.1	11.31	9.22	18.6	1.0	7.81	12.53	13.04	3.16	17.03	18.36	12.81	13.6	7.28	16.12	10.2	15.13	9.85	7.07	14.32	7.07	15.62	21.02	3.16	13.93	15.0	6.32	15.13	5.0	14.04	11.18	21.47	17.2	6.0	14.87	23.09	21.1	7.28	9.22	5.39	6.4	8.54	6.71	9.22	
7.81	9.49	0.0	15.81	7.07	15.65	13.42	13.45	8.49	7.21	7.21	10.2	5.1	16.28	10.0	9.85	5.0	14.32	8.25	10.0	8.25	9.22	13.04	14.04	2.24	8.6	1.41	6.08	7.81	8.94	10.44	10.77	7.62	15.62	6.32	8.94	6.71	3.16	13.89	5.0	5.39	17.8	16.4	11.05	4.24	11.7	16.4	12.04	5.39	13.89	4.12	9.43	6.08	10.82	10.44	
8.54	22.8	15.81	0.0	21.54	20.62	25.18	18.25	16.55	19.65	22.67	25.5	19.8	24.19	18.38	22.56	20.81	16.76	22.67	21.21	8.6	16.16	14.56	14.87	17.0	7.21	14.42	10.63	23.43	24.7	24.84	26.42	18.87	4.24	20.25	9.06	9.22	17.89	29.0	20.12	10.63	24.52	5.0	23.32	17.09	26.25	1.0	17.46	15.52	20.22	18.79	18.03	14.32	19.0	16.03	
13.0	2.83	7.07	21.54	0.0	13.0	7.07	19.72	14.76	3.16	7.62	4.24	8.49	11.7	15.81	3.61	5.0	13.6	10.3	5.1	15.03	15.65	13.42	14.32	5.0	14.56	8.0	13.0	7.28	5.1	11.7	5.83	12.81	20.25	1.41	13.04	13.15	4.0	13.0	2.24	12.04	13.6	20.81	14.42	4.47	12.37	21.93	18.36	6.4	11.0	3.0	7.28	7.81	8.06	9.85	
14.42	11.18	15.65	20.62	13.0	0.0	9.43	28.6	23.85	10.05	20.22	16.28	19.92	4.47	25.55	10.2	17.26	4.0	22.56	8.06	19.21	24.41	6.08	6.0	13.93	16.64	15.26	18.38	20.1	18.03	24.33	18.25	23.26	17.12	12.04	12.53	17.03	13.6	26.0	14.14	16.97	4.0	17.03	26.25	11.7	25.18	20.4	27.2	10.3	2.0	13.34	6.32	10.0	5.1	5.66	
17.0	4.24	13.42	25.18	7.07	9.43	0.0	26.63	21.63	6.32	14.42	8.25	15.56	6.08	22.8	3.61	12.04	12.04	17.2	4.0	20.4	22.47	13.04	13.6	11.18	19.03	13.93	18.68	13.89	10.77	18.36	10.2	19.85	22.8	7.21	16.12	18.25	10.3	18.68	9.22	17.46	8.06	23.09	21.4	9.49	18.79	25.32	25.24	10.05	7.81	9.43	7.28	11.0	6.71	9.85	
15.81	22.47	13.45	18.25	19.72	28.6	26.63	0.0	5.0	20.62	14.32	21.19	11.7	29.7	4.12	23.02	15.23	26.42	12.04	23.43	11.18	4.24	24.6	25.5	15.62	14.32	13.45	10.77	15.3	18.68	13.04	20.62	7.28	21.0	19.42	18.03	12.65	16.4	17.26	17.49	12.08	31.14	22.0	9.22	17.69	14.14	19.24	1.41	18.44	27.02	17.2	22.67	18.6	24.08	23.02	
12.04	17.49	8.49	16.55	14.76	23.85	21.63	5.0	0.0	15.62	10.0	16.49	7.07	24.76	2.0	18.03	10.44	21.93	8.25	18.44	8.25	1.0	20.25	21.19	10.63	11.05	8.6	7.0	11.0	14.14	9.85	16.12	3.16	18.44	14.42	14.14	9.0	11.4	14.32	12.53	8.06	26.25	19.42	7.07	12.73	11.18	17.46	3.61	13.6	22.2	12.21	17.8	13.89	19.21	18.36	
11.18	3.16	7.21	19.65	3.16	10.05	6.32	20.62	15.62	0.0	10.2	7.21	10.3	9.43	16.97	3.0	7.28	10.44	12.65	2.83	14.14	16.4	10.3	11.18	5.0	13.04	7.62	12.37	10.05	8.25	14.32	8.94	14.21	17.89	2.0	10.77	12.04	4.24	16.03	4.12	11.18	11.18	18.36	16.55	3.16	15.13	19.92	19.21	4.12	8.06	3.61	4.12	5.39	5.0	6.71	
