90
0.0	43.93	7.81	24.08	10.63	5.0	1.0	28.07	38.42	31.62	5.1	21.19	34.13	30.53	6.4	34.41	19.03	7.07	33.54	30.68	25.02	13.15	29.83	28.28	27.29	30.87	42.64	29.02	13.34	31.14	18.6	28.32	20.62	14.32	37.01	47.51	32.2	34.37	5.1	8.94	33.06	33.94	43.27	36.4	26.48	28.07	21.4	31.95	42.8	8.49	29.43	4.12	36.22	27.66	19.1	26.93	26.0	40.0	39.62	28.28	28.64	24.19	10.77	26.4	26.08	34.44	33.54	37.64	29.07	26.4	27.29	8.25	8.25	44.69	31.4	10.77	28.23	34.93	3.16	36.07	33.29	38.28	31.89	30.48	29.07	39.7	14.32	18.11	24.08	17.12	
43.93	0.0	51.66	28.46	54.49	40.8	43.19	35.01	9.06	15.3	40.0	38.28	15.0	17.26	44.1	13.04	33.53	44.94	14.32	23.0	32.25	36.89	36.22	25.5	18.36	16.76	2.0	32.0	37.74	26.08	46.17	15.62	27.29	42.15	7.21	7.28	12.21	38.33	41.62	48.02	31.0	10.3	11.4	20.62	25.0	27.46	22.63	22.02	8.6	45.28	38.0	45.97	37.66	17.0	32.57	40.11	21.02	5.1	4.47	37.01	23.54	30.41	41.59	18.79	31.14	14.14	35.0	6.4	31.26	22.56	20.62	49.09	48.27	6.4	24.08	40.22	44.1	15.03	42.8	8.06	15.03	21.19	13.0	14.32	35.0	4.24	33.54	34.44	31.4	31.38	
7.81	51.66	0.0	30.08	2.83	12.08	8.49	34.13	46.23	39.41	12.53	25.02	41.88	38.28	11.05	42.2	25.71	11.0	40.82	38.08	31.58	18.44	34.01	34.48	34.67	38.08	50.33	35.51	18.25	37.11	21.84	36.07	27.31	19.03	44.69	55.32	39.82	40.0	11.7	10.44	38.21	41.73	51.04	43.86	32.89	33.96	29.07	39.4	50.61	12.04	35.0	6.32	42.01	35.47	25.96	32.06	33.12	47.63	47.38	34.01	35.11	31.05	16.03	34.21	32.76	41.68	38.0	45.34	34.23	34.0	34.99	8.54	7.28	52.5	37.64	15.13	32.56	42.06	9.85	43.84	41.05	45.69	39.7	38.29	35.13	47.42	21.54	23.35	30.81	23.41	
24.08	28.46	30.08	0.0	32.57	24.19	23.09	36.77	28.0	24.74	23.19	9.85	27.66	25.3	28.16	26.31	28.6	29.15	14.32	30.41	32.53	11.7	10.3	4.47	11.0	11.7	26.57	35.47	12.08	7.07	37.34	17.26	5.0	31.95	21.59	34.71	17.12	43.19	25.18	32.06	9.85	22.0	34.0	33.84	3.61	4.0	13.04	30.87	32.06	30.27	39.62	23.77	44.05	19.92	27.8	39.2	8.0	23.41	25.5	38.21	5.66	30.41	29.12	20.62	32.56	14.76	12.04	22.56	6.4	25.55	24.6	32.0	24.17	32.39	7.62	15.23	42.44	14.42	25.02	23.09	26.68	35.74	22.2	21.38	37.48	24.74	24.19	7.21	31.11	7.0	
10.63	54.49	2.83	32.57	0.0	14.76	11.31	36.35	49.04	42.2	15.26	27.02	44.65	41.05	13.34	45.0	28.16	13.15	43.57	40.72	33.96	20.88	36.01	37.0	37.44	40.82	53.15	37.85	20.62	39.56	23.35	38.9	29.97	21.02	47.51	58.14	42.64	42.05	14.32	12.04	40.45	44.55	53.82	46.52	35.47	36.4	31.89	42.05	53.41	14.04	37.05	8.94	44.1	38.29	28.46	34.0	35.85	50.45	50.21	36.12	37.7	33.53	18.25	37.01	35.17	44.42	40.05	48.17	36.5	36.72	37.74	10.05	9.0	55.32	40.16	17.46	34.23	44.78	12.53	46.67	43.83	48.33	42.52	41.11	37.34	50.25	24.17	25.71	33.24	26.0	
5.0	40.8	12.08	24.19	14.76	0.0	5.1	23.09	34.66	27.66	1.0	23.32	30.0	26.4	4.0	30.48	14.04	5.0	31.62	26.0	20.02	14.76	31.38	28.02	25.3	29.12	39.66	24.02	15.26	31.06	14.87	25.24	20.0	10.0	34.13	43.84	29.53	29.43	1.0	8.06	33.73	30.61	39.2	31.78	26.0	28.16	18.79	27.31	38.95	6.08	24.52	9.06	31.26	24.08	14.14	22.14	24.52	37.22	36.4	23.35	28.02	19.24	6.4	22.63	21.1	32.57	34.79	34.67	29.83	21.95	23.02	8.54	13.15	41.01	31.0	13.45	23.71	33.24	2.24	32.8	29.21	33.62	28.32	26.91	24.08	36.62	9.49	19.31	19.1	17.26	
1.0	43.19	8.49	23.09	11.31	5.1	0.0	28.16	37.8	31.06	5.0	20.25	33.62	30.02	7.07	33.84	19.0	7.81	32.65	30.36	25.0	12.17	28.86	27.29	26.42	29.97	41.87	29.0	12.37	30.15	19.21	27.59	19.65	14.76	36.24	46.86	31.4	34.53	5.39	9.85	32.06	33.24	42.72	36.06	25.5	27.07	20.62	31.62	42.2	9.22	29.61	4.0	36.35	27.02	19.03	27.2	25.08	39.2	38.9	28.44	27.66	24.08	11.18	25.81	26.02	33.54	32.56	36.88	28.07	26.0	26.83	9.22	8.06	44.05	30.41	9.85	28.64	34.01	3.61	35.36	32.76	37.95	31.24	29.83	29.15	38.95	14.14	17.12	24.02	16.12	
28.07	35.01	34.13	36.77	36.35	23.09	28.16	0.0	26.08	20.1	23.19	41.34	20.02	18.11	23.09	22.0	9.49	23.19	34.54	12.04	4.24	33.54	46.75	38.42	30.02	33.54	35.01	3.16	34.44	41.4	15.81	24.7	31.83	15.52	31.4	33.96	29.41	6.71	23.02	24.74	46.1	26.31	27.2	16.16	36.24	39.7	24.21	13.15	28.64	22.36	3.16	32.14	8.25	21.19	9.85	5.39	31.62	34.23	31.02	2.0	37.2	6.4	18.11	19.31	4.47	35.47	48.8	31.26	43.14	13.6	15.52	26.68	36.22	31.58	40.22	34.18	9.22	36.77	25.02	28.16	20.0	17.0	23.35	22.56	1.0	32.06	14.87	36.06	5.66	32.2	
38.42	9.06	46.23	28.0	49.04	34.66	37.8	26.08	0.0	7.21	33.97	37.22	6.08	8.94	37.54	4.47	25.5	38.29	16.16	14.04	23.54	33.84	37.34	26.31	17.0	17.46	9.49	23.02	34.79	27.89	38.08	11.4	25.32	34.48	8.6	9.22	11.18	29.27	35.36	41.23	33.24	6.0	6.0	11.7	25.08	28.28	18.38	13.0	4.47	38.42	29.02	41.05	28.64	10.82	24.6	31.26	20.0	10.0	5.83	28.07	24.33	21.84	34.41	12.04	22.36	16.55	37.11	7.81	32.39	14.32	12.53	42.52	43.91	6.4	25.96	36.77	35.23	17.89	36.8	5.39	6.32	12.53	6.71	8.06	26.02	7.21	26.4	32.56	22.8	28.86	
31.62	15.3	39.41	24.74	42.2	27.66	31.06	20.1	7.21	0.0	27.02	33.06	3.0	2.0	30.41	2.83	18.38	31.14	16.28	8.54	17.03	28.44	34.79	24.17	14.32	16.4	15.03	17.26	29.43	26.42	31.02	7.62	21.1	27.29	11.4	16.4	10.63	24.35	28.32	34.06	31.76	6.32	11.66	9.43	22.47	26.0	13.04	8.06	11.31	31.24	23.19	34.48	24.17	5.0	17.46	25.0	17.09	14.14	11.05	22.09	22.36	15.13	27.2	5.39	16.0	17.03	35.34	11.18	30.08	7.28	5.39	35.38	37.58	13.6	24.7	31.05	29.0	18.44	29.83	8.06	2.0	11.18	3.61	3.61	20.22	12.0	19.21	28.0	16.12	24.02	
