60
0.0	15.26	7.28	15.52	20.81	12.65	28.23	15.0	19.31	25.02	20.02	20.0	23.02	15.03	17.89	26.31	11.4	10.77	6.4	21.4	28.46	1.0	23.85	20.1	20.62	7.0	8.06	16.0	28.28	16.12	24.7	9.49	13.6	4.47	9.06	28.18	28.79	13.42	23.35	14.87	17.09	25.81	18.0	16.28	16.49	22.02	12.04	28.44	12.0	22.36	16.16	14.32	11.4	7.0	10.82	13.0	8.06	4.12	21.63	10.05	
15.26	0.0	8.49	11.4	5.66	4.12	13.34	14.76	5.1	15.0	11.4	5.0	13.45	15.65	3.0	13.6	4.12	5.0	15.81	21.38	14.04	15.81	22.14	9.22	21.21	10.0	9.06	8.54	15.52	6.71	22.47	10.05	12.0	10.82	14.04	24.19	14.14	21.19	15.62	4.24	10.63	10.63	9.43	12.81	12.37	12.73	24.41	19.85	23.85	15.0	9.9	22.14	15.52	13.04	7.07	13.04	17.49	12.73	20.62	14.14	
7.28	8.49	0.0	13.34	14.14	5.39	21.02	14.76	12.08	18.25	13.34	13.45	16.28	15.26	10.82	19.1	5.39	3.61	7.62	18.03	21.19	7.62	19.85	13.0	17.49	2.0	5.83	9.22	21.1	9.0	20.52	8.06	8.49	3.0	10.63	23.43	21.54	14.04	17.09	9.49	14.04	19.1	11.18	14.56	10.82	15.3	16.12	22.14	15.65	16.16	13.04	15.03	9.22	8.6	7.07	8.6	9.49	4.24	17.8	11.31	
15.52	11.4	13.34	0.0	13.34	13.6	22.36	4.0	16.12	26.4	22.63	12.37	24.84	5.0	13.89	24.6	9.43	12.53	20.0	30.87	23.77	16.49	32.25	20.62	30.46	15.3	8.0	19.21	26.4	17.69	32.76	6.08	21.02	13.0	7.81	35.0	23.54	27.07	26.87	7.21	2.24	17.0	20.52	1.41	22.47	24.08	27.46	31.24	27.29	26.17	2.0	28.07	22.56	8.94	6.32	21.54	22.0	16.0	30.41	7.07	
20.81	5.66	14.14	13.34	0.0	9.43	9.06	17.26	5.1	15.26	13.34	1.0	14.32	18.25	4.12	12.04	9.43	10.63	21.4	25.0	10.44	21.4	25.18	10.44	25.02	15.62	13.93	12.04	13.6	10.05	25.32	14.32	16.49	16.4	18.25	26.25	10.2	26.4	17.09	7.07	11.7	5.0	12.04	14.56	16.03	13.93	30.0	20.25	29.41	16.76	11.4	27.31	20.62	17.72	11.4	17.72	23.02	18.38	24.02	18.11	
12.65	4.12	5.39	13.6	9.43	0.0	15.65	16.28	6.71	13.93	9.43	8.94	12.08	17.03	5.66	14.0	4.24	2.0	12.04	17.72	15.81	13.0	18.79	8.25	17.46	6.4	8.54	5.66	16.0	4.47	19.24	10.3	8.06	8.25	13.93	21.4	16.16	17.09	13.6	7.28	13.42	14.21	7.21	15.0	8.94	11.18	20.62	18.36	20.0	12.81	12.53	18.03	11.4	12.37	7.81	9.0	13.6	9.43	17.09	14.32	
28.23	13.34	21.02	22.36	9.06	15.65	0.0	26.31	8.94	12.04	13.42	10.05	12.37	27.29	10.44	7.0	17.46	17.46	27.2	25.63	2.24	28.64	24.74	10.82	26.0	21.95	22.36	14.87	7.28	13.45	24.52	23.09	19.85	23.77	27.07	24.02	1.41	30.48	15.3	16.0	20.62	6.4	13.6	23.54	18.03	12.65	35.47	16.12	34.71	15.52	20.4	31.24	24.76	26.31	20.1	21.26	28.43	25.06	24.35	27.02	
15.0	14.76	14.76	4.0	17.26	16.28	26.31	0.0	19.7	29.68	25.61	16.28	28.02	1.0	17.46	28.23	12.04	14.87	20.4	32.76	27.66	16.0	34.41	23.85	32.25	16.55	8.94	21.93	30.08	20.62	35.0	6.71	23.02	13.6	6.08	37.54	27.46	27.66	29.83	10.77	6.08	21.0	23.43	3.16	24.84	27.2	27.02	34.41	27.0	29.07	6.0	28.64	23.77	8.0	8.49	23.32	22.36	16.49	32.45	5.1	
19.31	5.1	12.08	16.12	5.1	6.71	8.94	19.7	0.0	10.63	8.25	5.39	9.43	20.62	2.24	8.54	9.0	8.54	18.44	20.02	9.22	19.7	20.1	5.39	20.1	13.04	14.0	7.28	10.44	5.39	20.22	15.13	12.08	14.87	19.1	21.19	9.49	22.47	12.08	8.94	15.0	8.54	7.0	17.49	11.18	8.94	26.87	15.62	26.17	11.7	14.42	23.32	16.64	18.0	12.17	13.42	19.8	16.12	19.0	19.24	
25.02	15.0	18.25	26.4	15.26	13.93	12.04	29.68	10.63	0.0	5.0	15.81	2.0	30.53	12.73	5.1	17.89	15.81	21.38	14.42	10.2	25.0	13.0	5.83	15.0	18.03	22.47	9.06	5.83	9.49	12.65	24.17	12.37	21.21	27.86	12.0	11.18	21.95	3.61	19.21	25.5	16.49	7.07	27.8	9.49	3.0	28.23	5.0	27.31	4.24	24.84	22.47	17.09	26.25	21.47	13.6	21.84	21.0	13.04	28.23	
