30
0.0	11.66	2.24	10.0	12.04	7.21	7.62	11.0	3.0	4.12	14.32	8.6	10.0	10.44	9.43	11.4	6.0	7.62	3.16	14.42	5.83	5.0	1.41	12.21	6.08	8.54	10.05	13.0	9.06	12.04	
11.66	0.0	10.63	4.47	5.39	10.77	9.49	6.08	9.22	9.22	3.0	3.16	2.0	9.0	5.39	1.41	7.21	4.24	12.73	2.83	10.3	7.28	10.3	5.0	8.06	3.61	7.0	6.71	5.1	3.61	
2.24	10.63	0.0	9.85	10.2	5.0	5.39	9.06	1.41	5.1	13.04	7.81	9.22	8.25	9.49	10.63	4.12	6.4	2.24	13.45	3.61	5.1	2.24	12.08	4.0	7.21	8.0	11.05	7.28	11.66	
10.0	4.47	9.85	0.0	9.22	12.0	11.05	9.43	8.54	6.4	7.28	3.16	2.83	11.7	1.0	3.16	8.0	5.1	12.08	6.0	11.05	5.0	8.6	2.24	9.0	5.39	9.85	10.63	7.62	2.24	
12.04	5.39	10.2	9.22	0.0	7.81	6.4	1.41	9.06	11.4	5.1	6.4	6.4	4.47	9.9	6.71	6.08	5.39	11.7	7.0	8.06	9.49	11.0	10.3	6.32	4.47	2.83	1.41	3.0	8.94	
7.21	10.77	5.0	12.0	7.81	0.0	1.41	6.4	5.0	9.43	12.21	9.06	10.2	4.12	12.04	11.4	4.0	7.07	5.1	13.42	1.41	8.54	7.07	14.04	3.0	7.28	5.0	8.06	5.83	13.15	
7.62	9.49	5.39	11.05	6.4	1.41	0.0	5.0	5.0	9.22	10.82	8.0	9.06	3.0	11.18	10.2	3.16	6.0	6.0	12.08	2.0	8.06	7.21	13.0	2.24	6.08	3.61	6.71	4.47	12.04	
11.0	6.08	9.06	9.43	1.41	6.4	5.0	0.0	8.0	10.77	6.32	6.4	6.71	3.16	10.0	7.28	5.0	5.0	10.44	8.06	6.71	8.94	10.05	10.77	5.1	4.24	1.41	2.0	2.24	9.49	
3.0	9.22	1.41	8.54	9.06	5.0	5.0	8.0	0.0	4.47	11.66	6.4	7.81	7.62	8.25	9.22	3.0	5.0	3.61	12.04	3.61	4.0	2.24	10.77	3.16	5.83	7.07	10.0	6.08	10.3	
4.12	9.22	5.1	6.4	11.4	9.43	9.22	10.77	4.47	0.0	12.17	6.08	7.28	11.4	5.66	8.54	6.4	6.08	7.0	11.7	8.06	2.0	3.0	8.49	7.07	7.07	10.3	12.65	8.54	8.6	
14.32	3.0	13.04	7.28	5.1	12.21	10.82	6.32	11.66	12.17	0.0	6.08	5.0	9.49	8.25	4.12	9.22	6.71	15.0	2.24	12.04	10.2	13.0	7.21	9.9	5.83	7.62	6.0	6.4	5.83	
8.6	3.16	7.81	3.16	6.4	9.06	8.0	6.4	6.4	6.08	6.08	0.0	1.41	8.54	3.61	2.83	5.1	2.0	10.0	5.83	8.25	4.12	7.21	5.0	6.08	2.24	6.71	7.81	4.47	4.12	
10.0	2.0	9.22	2.83	6.4	10.2	9.06	6.71	7.81	7.28	5.0	1.41	0.0	9.22	3.61	1.41	6.32	3.16	11.4	4.47	9.49	5.39	8.6	4.12	7.28	3.0	7.28	7.81	5.1	3.0	
10.44	9.0	8.25	11.7	4.47	4.12	3.0	3.16	7.62	11.4	9.49	8.54	9.22	0.0	12.08	10.05	5.0	6.71	9.0	11.18	5.0	9.9	9.85	13.34	4.47	6.32	2.0	4.24	4.12	12.17	
9.43	5.39	9.49	1.0	9.9	12.04	11.18	10.0	8.25	5.66	8.25	3.61	3.61	12.08	0.0	4.12	8.06	5.39	11.7	7.0	11.0	4.47	8.06	2.83	9.06	5.83	10.3	11.31	8.06	3.16	
11.4	1.41	10.63	3.16	6.71	11.4	10.2	7.28	9.22	8.54	4.12	2.83	1.41	10.05	4.12	0.0	7.62	4.47	12.81	3.16	10.77	6.71	10.0	3.61	8.54	4.12	8.06	8.06	6.0	2.24	
6.0	7.21	4.12	8.0	6.08	4.0	3.16	5.0	3.0	6.4	9.22	5.1	6.32	5.0	8.06	7.62	0.0	3.16	5.83	10.0	3.16	5.0	5.1	10.05	1.0	3.61	4.12	7.0	3.16	9.22	
7.62	4.24	6.4	5.1	5.39	7.07	6.0	5.0	5.0	6.08	6.71	2.0	3.16	6.71	5.39	4.47	3.16	0.0	8.49	7.07	6.32	4.12	6.32	7.0	4.12	1.0	5.0	6.71	2.83	6.08	
3.16	12.73	2.24	12.08	11.7	5.1	6.0	10.44	3.61	7.0	15.0	10.0	11.4	9.0	11.7	12.81	5.83	8.49	0.0	15.56	4.0	7.28	4.0	14.32	5.39	9.22	9.22	12.37	8.94	13.89	
14.42	2.83	13.45	6.0	7.0	13.42	12.08	8.06	12.04	11.7	2.24	5.83	4.47	11.18	7.0	3.16	10.0	7.07	15.56	0.0	13.04	9.85	13.04	5.39	10.82	6.4	9.22	8.06	7.62	4.12	
5.83	10.3	3.61	11.05	8.06	1.41	2.0	6.71	3.61	8.06	12.04	8.25	9.49	5.0	11.0	10.77	3.16	6.32	4.0	13.04	0.0	7.28	5.66	13.15	2.24	6.71	5.39	8.54	5.66	12.37	
5.0	7.28	5.1	5.0	9.49	8.54	8.06	8.94	4.0	2.0	10.2	4.12	5.39	9.9	4.47	6.71	5.0	4.12	7.28	9.85	7.28	0.0	3.61	7.21	5.83	5.1	8.6	10.77	6.71	7.07	
1.41	10.3	2.24	8.6	11.0	7.07	7.21	10.05	2.24	3.0	13.0	7.21	8.6	9.85	8.06	10.0	5.1	6.32	4.0	13.04	5.66	3.61	0.0	10.82	5.39	7.28	9.22	12.04	8.0	10.63	
12.21	5.0	12.08	2.24	10.3	14.04	13.0	10.77	10.77	8.49	7.21	5.0	4.12	13.34	2.83	3.61	10.05	7.0	14.32	5.39	13.15	7.21	10.82	0.0	11.05	7.07	11.4	11.66	9.22	1.41	
6.08	8.06	4.0	9.0	6.32	3.0	2.24	5.1	3.16	7.07	9.9	6.08	7.28	4.47	9.06	8.54	1.0	4.12	5.39	10.82	2.24	5.83	5.39	11.05	0.0	4.47	4.0	7.07	3.61	10.2	
8.54	3.61	7.21	5.39	4.47	7.28	6.08	4.24	5.83	7.07	5.83	2.24	3.0	6.32	5.83	4.12	3.61	1.0	9.22	6.4	6.71	5.1	7.28	7.07	4.47	0.0	4.47	5.83	2.24	6.0	
