110
0.0	36.12	24.33	24.02	12.81	25.0	28.23	14.21	10.0	5.0	27.46	17.72	7.62	29.07	39.96	14.32	31.91	26.31	26.57	12.0	23.09	43.05	19.21	46.65	22.36	27.73	34.21	20.4	21.93	33.97	41.11	20.62	34.71	13.0	40.61	49.73	30.41	10.44	26.31	20.62	47.17	37.54	42.54	15.26	24.74	30.23	23.02	36.06	25.5	17.46	28.3	28.65	32.76	10.77	27.73	32.06	36.35	46.52	49.65	18.36	20.0	41.48	54.2	32.06	33.06	20.88	40.82	42.0	46.14	26.17	45.04	32.2	27.02	43.29	52.8	29.02	14.32	23.54	30.02	29.73	34.06	34.0	17.69	27.86	26.68	47.8	31.06	31.58	35.13	11.4	44.38	8.06	17.2	40.31	25.32	4.12	28.46	20.1	43.93	32.56	27.17	51.43	22.83	2.24	17.8	27.17	22.0	50.16	46.04	45.04	
36.12	0.0	31.0	28.0	38.95	12.65	35.01	22.2	26.4	33.02	48.51	52.01	39.2	37.01	7.62	23.71	41.0	23.09	52.2	45.0	22.36	27.2	16.97	13.0	15.65	36.06	3.0	31.26	14.42	47.04	30.41	16.12	47.01	34.18	33.62	42.54	5.83	33.11	31.06	29.83	44.38	1.41	42.72	21.95	21.0	41.05	54.71	23.77	19.1	51.4	12.0	50.7	41.01	26.93	12.17	26.48	21.02	15.52	44.72	43.86	27.29	37.34	20.22	22.56	22.8	48.75	8.54	28.3	48.76	30.07	31.62	10.2	25.0	33.12	21.1	28.44	42.54	19.42	12.17	17.46	2.24	25.0	18.44	14.04	18.03	41.59	22.36	30.27	22.47	42.44	43.32	32.25	19.72	4.47	31.02	39.82	18.25	23.09	7.81	30.41	21.0	50.7	35.69	35.61	18.38	27.0	24.52	47.93	29.07	28.43	
24.33	31.0	0.0	3.0	36.06	19.42	46.1	18.38	18.87	19.42	50.7	41.01	31.78	47.63	38.12	14.87	51.4	8.25	50.7	36.22	34.83	51.89	22.47	44.0	27.78	46.23	31.14	4.0	20.62	55.23	52.48	18.79	55.76	12.04	53.82	63.82	26.17	14.04	2.0	37.64	63.13	32.02	59.41	16.28	10.0	50.22	47.1	45.65	34.67	41.0	19.0	52.2	52.01	16.12	31.38	44.41	44.28	46.17	64.82	42.06	5.66	56.22	51.09	42.19	43.05	45.12	39.12	51.88	64.38	2.24	55.47	34.48	39.82	55.23	52.04	5.83	38.33	33.02	19.1	14.56	30.07	44.94	20.81	33.11	34.99	62.2	41.34	46.1	44.29	35.69	60.88	16.28	17.2	33.24	1.0	25.0	13.34	32.56	37.34	46.86	37.44	68.62	42.44	22.2	22.2	41.11	35.38	66.6	54.63	53.71	
24.02	28.0	3.0	0.0	35.17	16.49	44.2	16.4	17.46	19.03	49.65	41.19	31.26	45.8	35.13	13.04	49.65	5.39	50.01	36.01	32.56	49.19	20.0	41.0	25.24	44.41	28.16	5.0	17.89	53.71	49.93	16.12	54.2	12.65	51.4	61.4	23.19	14.14	3.61	35.81	60.88	29.02	57.28	14.21	7.0	48.55	47.0	43.05	32.2	41.11	16.0	51.24	50.22	14.87	28.64	42.01	41.59	43.19	62.48	41.23	4.12	53.91	48.09	39.66	40.5	44.55	36.12	49.24	62.37	2.83	52.84	31.62	37.54	52.7	49.04	5.0	37.66	30.61	16.12	11.7	27.07	42.44	18.44	30.41	32.45	59.82	38.83	43.86	41.68	35.23	58.69	16.0	14.87	30.27	3.16	25.18	10.44	30.41	34.37	44.6	35.0	66.47	40.82	22.0	19.85	38.9	33.24	64.38	51.89	50.99	
12.81	38.95	36.06	35.17	0.0	30.81	18.03	21.02	18.11	17.0	14.76	14.76	5.83	18.25	40.46	23.09	20.25	36.22	15.03	8.25	19.21	37.0	23.09	46.69	23.32	17.12	36.36	32.31	26.93	21.4	33.73	26.48	22.2	25.55	32.14	40.11	34.01	22.83	37.95	13.0	36.67	40.31	31.78	23.0	34.06	18.38	15.81	30.46	22.67	13.89	34.71	16.16	21.19	20.4	27.8	25.3	31.76	45.34	39.46	6.08	31.05	32.02	53.76	26.83	27.73	10.2	41.11	35.44	34.54	37.64	37.85	31.89	21.02	35.36	51.22	40.02	3.61	21.21	36.67	38.05	36.72	27.86	22.56	26.91	24.08	38.12	25.94	23.35	29.97	5.1	33.73	20.12	24.08	43.42	37.0	15.0	37.01	16.97	46.32	24.33	23.02	40.16	12.04	15.0	21.84	20.25	17.2	39.29	39.85	38.9	
25.0	12.65	19.42	16.49	30.81	0.0	32.89	10.82	15.0	21.21	43.0	42.06	29.55	34.79	19.03	11.4	38.9	12.53	45.4	35.34	19.7	33.29	8.0	25.32	11.18	33.53	12.04	19.0	4.0	44.15	34.71	4.47	44.38	21.54	36.8	46.67	7.07	20.59	19.92	25.5	47.01	13.93	44.1	9.9	9.85	38.33	45.88	27.66	18.03	41.59	4.0	45.01	39.22	14.87	12.81	27.8	25.81	27.0	48.17	36.5	15.0	39.82	32.76	24.76	25.46	41.0	20.02	33.6	49.74	18.97	37.2	15.23	24.19	37.54	33.06	18.36	34.21	17.0	6.0	9.43	11.18	27.59	8.25	14.87	17.8	45.28	24.08	30.53	26.25	33.24	45.22	20.0	7.81	16.12	19.65	28.32	9.22	18.68	20.12	31.06	20.81	53.01	31.4	24.08	9.06	25.94	21.19	50.61	35.85	34.99	
28.23	35.01	46.1	44.2	18.03	32.89	0.0	27.8	27.59	30.53	16.28	31.58	23.35	2.0	32.98	31.24	6.08	43.05	22.02	26.02	13.34	21.4	25.5	37.7	21.84	1.41	32.02	43.14	29.15	12.04	17.0	29.97	12.0	38.6	14.56	22.09	32.25	35.81	47.63	8.49	18.97	36.06	14.32	30.0	40.31	6.08	29.55	16.4	16.03	30.59	36.69	18.44	6.32	30.41	23.02	10.82	18.87	34.89	21.59	17.72	40.46	14.0	43.42	14.32	14.76	21.93	33.24	19.42	18.44	47.01	21.02	25.18	10.05	18.03	39.66	48.26	20.1	16.28	38.6	42.15	33.0	13.6	26.42	21.0	17.0	20.1	13.93	7.07	16.64	23.0	16.16	33.02	29.68	39.12	46.86	31.62	41.63	14.32	40.61	7.81	14.04	23.32	6.0	29.97	25.06	8.06	11.7	21.93	23.85	23.02	
14.21	22.2	18.38	16.4	21.02	10.82	27.8	0.0	4.24	10.82	34.53	31.3	18.97	29.41	26.93	3.61	33.29	15.81	36.0	24.7	16.64	35.17	6.08	33.62	11.05	28.02	20.59	15.81	7.81	37.58	34.93	6.4	38.01	14.04	35.85	45.79	16.4	12.04	19.85	19.42	44.82	23.6	41.04	2.24	13.34	32.25	35.44	28.46	17.09	30.87	14.32	36.35	33.84	5.1	16.03	26.42	27.66	34.21	46.62	27.0	12.73	38.01	41.23	24.7	25.63	31.14	27.86	34.79	46.01	19.21	38.28	20.22	21.63	37.58	40.52	20.59	24.19	15.23	16.16	17.03	20.25	27.31	4.12	17.03	17.72	44.1	23.77	27.8	27.2	22.8	42.52	10.44	3.16	26.25	19.1	17.69	16.0	14.21	30.0	28.6	19.7	50.25	24.6	13.45	5.0	22.8	17.03	48.27	38.08	37.11	
10.0	26.4	18.87	17.46	18.11	15.0	27.59	4.24	0.0	6.71	32.28	27.31	15.3	29.0	30.87	5.0	32.65	18.11	33.14	20.88	18.03	37.48	9.85	37.58	14.14	27.59	24.7	15.62	12.04	36.36	36.69	10.63	36.89	11.7	37.16	46.96	20.62	9.22	20.59	19.1	45.49	27.8	41.4	5.39	16.0	31.4	31.78	30.59	19.24	26.93	18.36	33.96	33.3	2.83	19.42	27.86	30.15	37.95	47.51	24.19	13.42	38.95	45.19	26.68	27.66	28.0	31.78	36.88	46.01	20.12	40.26	23.77	22.85	39.22	44.27	22.14	21.0	17.26	20.12	20.4	24.41	29.12	8.06	20.1	20.1	45.18	25.71	28.65	29.43	19.24	43.01	7.0	7.21	30.48	19.72	13.45	19.24	15.23	34.21	29.53	21.59	50.61	23.6	9.22	8.54	23.71	17.89	48.83	40.45	39.46	
5.0	33.02	19.42	19.03	17.0	21.21	30.53	10.82	6.71	0.0	31.76	22.56	12.37	31.62	37.58	10.0	34.83	21.38	31.32	17.0	23.19	43.1	16.55	44.28	20.62	30.23	31.38	15.52	18.6	37.54	41.77	17.03	38.21	8.6	41.76	51.26	27.2	5.83	21.38	22.36	49.19	34.41	44.78	11.31	19.92	33.3	28.02	36.12	25.0	22.36	24.21	33.11	35.61	6.4	25.96	32.76	36.0	44.6	51.48	22.85	15.0	43.08	51.89	32.14	33.14	25.71	38.48	42.3	48.83	21.21	45.54	30.36	27.66	44.15	50.92	24.02	18.97	23.0	25.81	25.08	31.06	34.37	14.76	26.48	26.02	49.4	31.14	32.89	35.06	16.28	46.53	3.16	13.45	37.01	20.4	7.21	23.77	20.22	40.8	33.84	27.07	53.85	25.61	3.16	15.23	28.16	22.56	52.35	46.1	45.1	
