15
0.0	5.83	2.24	5.39	4.24	2.83	4.47	3.16	3.16	5.1	1.0	2.83	3.61	1.0	3.16	
5.83	0.0	3.61	5.0	2.0	3.16	1.41	4.0	7.21	2.0	5.0	5.83	3.0	6.71	6.0	
2.24	3.61	0.0	4.24	2.24	1.0	2.24	2.24	4.12	3.0	1.41	3.0	2.0	3.16	3.61	
5.39	5.0	4.24	0.0	5.39	5.0	4.12	6.4	4.12	3.0	4.47	3.0	5.83	6.32	7.81	
4.24	2.0	2.24	5.39	0.0	1.41	1.41	2.0	6.32	2.83	3.61	5.1	1.0	5.0	4.0	
2.83	3.16	1.0	5.0	1.41	0.0	2.0	1.41	5.1	3.16	2.24	4.0	1.0	3.61	3.16	
4.47	1.41	2.24	4.12	1.41	2.0	0.0	3.16	5.83	1.41	3.61	4.47	2.24	5.39	5.1	
3.16	4.0	2.24	6.4	2.0	1.41	3.16	0.0	6.0	4.47	3.0	5.1	1.0	3.61	2.0	
3.16	7.21	4.12	4.12	6.32	5.1	5.83	6.0	0.0	5.66	3.0	1.41	6.08	3.61	6.32	
5.1	2.0	3.0	3.0	2.83	3.16	1.41	4.47	5.66	0.0	4.12	4.24	3.61	6.08	6.32	
1.0	5.0	1.41	4.47	3.61	2.24	3.61	3.0	3.0	4.12	0.0	2.24	3.16	2.0	3.61	
2.83	5.83	3.0	3.0	5.1	4.0	4.47	5.1	1.41	4.24	2.24	0.0	5.0	3.61	5.83	
3.61	3.0	2.0	5.83	1.0	1.0	2.24	1.0	6.08	3.61	3.16	5.0	0.0	4.24	3.0	
1.0	6.71	3.16	6.32	5.0	3.61	5.39	3.61	3.61	6.08	2.0	3.61	4.24	0.0	3.0	
3.16	6.0	3.61	7.81	4.0	3.16	5.1	2.0	6.32	6.32	3.61	5.83	3.0	3.0	0.0	
