150
0.0	45.1	39.12	58.82	12.17	18.03	54.08	60.44	55.32	43.14	38.21	48.84	25.96	31.32	52.15	42.72	23.02	13.6	9.22	21.93	26.08	33.62	11.18	38.01	47.54	36.25	9.22	54.23	13.0	54.34	67.94	9.49	38.64	45.89	50.8	34.66	53.67	39.12	26.68	6.0	39.12	26.02	24.19	42.54	17.49	17.8	77.99	14.14	45.01	14.32	53.01	41.62	27.66	6.4	48.26	19.21	43.17	48.1	75.01	53.15	25.81	18.03	33.14	16.16	2.83	48.08	5.39	37.74	61.13	58.52	11.0	13.93	8.54	21.95	45.04	36.67	46.86	33.3	61.29	54.33	62.94	19.85	53.81	39.46	56.22	48.26	26.83	10.44	62.01	26.0	33.54	28.02	45.71	15.0	6.08	27.02	43.28	40.82	38.47	42.95	32.7	57.28	45.8	7.28	52.0	29.53	45.18	14.32	7.0	52.8	47.8	45.89	28.86	50.0	36.14	49.5	58.55	31.32	55.8	67.27	40.36	46.57	26.93	9.85	4.12	33.94	56.72	56.64	31.05	12.04	22.0	28.16	46.32	37.34	12.65	7.28	47.3	69.89	10.2	44.69	42.95	17.26	24.35	30.59	30.89	47.04	40.85	34.53	51.97	11.7	
45.1	0.0	6.0	52.17	33.02	54.78	33.0	50.49	65.86	35.85	63.89	62.43	47.2	48.84	9.9	72.01	62.03	39.56	39.2	27.73	51.87	17.2	55.04	60.14	75.17	69.97	44.64	69.63	42.72	65.0	49.25	48.37	12.21	12.0	46.49	35.0	55.15	59.4	21.02	45.89	26.83	19.1	21.0	77.18	60.3	35.74	62.29	59.21	65.12	59.3	71.22	42.54	20.12	40.01	46.62	58.25	71.06	78.41	58.31	44.15	68.41	56.29	60.0	31.32	43.01	38.6	40.01	43.01	86.98	85.59	56.08	32.06	37.0	40.5	1.0	22.47	34.21	36.24	59.2	69.07	47.0	34.18	43.93	66.07	48.05	64.82	25.81	55.33	41.19	44.2	19.21	17.12	5.0	30.15	39.05	18.11	39.81	26.0	56.59	12.37	18.03	84.17	43.86	43.19	7.62	21.95	68.59	40.26	38.12	35.13	75.93	60.0	17.46	45.54	15.62	5.66	71.34	63.29	36.0	48.26	37.59	74.52	44.82	36.01	44.01	34.21	69.12	45.54	62.43	36.35	23.19	17.0	58.82	14.14	33.02	48.05	59.64	61.29	55.23	40.31	70.29	46.52	45.22	51.09	25.46	68.62	13.89	53.76	51.62	56.44	
39.12	6.0	0.0	51.24	27.02	49.24	33.54	50.01	63.07	33.96	59.41	59.17	42.52	44.6	14.76	67.36	56.46	34.01	33.24	22.47	47.01	12.81	49.04	55.9	70.72	64.9	38.9	66.37	37.16	62.17	50.22	42.43	10.05	13.42	44.91	31.76	53.16	55.32	15.81	40.02	24.74	13.15	15.0	72.11	54.33	30.08	63.15	53.24	61.22	53.34	67.68	39.92	15.0	34.01	44.64	52.39	66.53	73.76	59.23	43.19	62.64	50.45	55.32	25.63	37.01	37.34	34.01	39.82	82.88	81.34	50.09	26.08	31.0	35.61	6.08	19.92	33.14	32.76	57.87	65.86	47.38	28.64	43.1	61.55	47.17	61.29	21.21	49.37	42.2	39.62	15.0	11.18	7.81	24.19	33.06	12.17	37.64	24.33	52.63	12.37	13.45	79.93	41.76	37.22	13.34	17.03	64.44	34.48	32.14	35.13	71.45	56.6	11.7	43.93	12.65	10.77	68.43	58.25	36.5	49.24	35.11	70.04	40.31	30.02	38.01	30.89	66.19	45.01	57.43	30.41	17.26	11.0	55.57	10.77	27.02	42.2	56.44	61.0	49.25	38.33	65.8	41.18	40.46	46.67	21.63	64.66	12.04	49.58	49.73	50.49	
58.82	52.17	51.24	0.0	54.63	50.61	21.1	4.12	22.8	18.25	39.29	25.0	35.47	30.81	47.54	46.53	55.23	45.22	61.72	41.44	38.83	61.07	68.88	34.48	46.04	51.24	50.45	29.61	46.23	22.56	16.12	67.96	41.19	40.52	8.06	25.08	10.0	32.28	42.76	54.04	27.02	49.65	51.97	56.09	75.17	66.13	20.25	66.48	33.14	65.8	33.38	17.2	42.58	59.54	10.63	78.01	44.41	51.09	18.38	8.06	64.14	76.84	39.92	46.1	59.36	14.0	57.8	21.26	51.2	51.62	65.8	57.01	57.25	37.01	51.2	32.02	18.11	25.94	7.81	28.64	11.7	66.41	8.25	41.0	4.12	29.0	37.36	62.94	18.03	33.94	63.13	49.37	57.07	51.62	56.44	49.5	16.16	27.02	29.73	39.81	61.13	50.49	13.04	63.63	51.26	62.51	38.12	67.12	55.07	17.89	47.04	25.18	55.33	8.94	39.01	57.01	27.86	46.62	18.6	16.28	19.31	46.1	33.24	57.7	61.59	26.0	26.25	7.21	45.69	61.33	49.48	51.35	23.19	61.01	56.46	54.56	23.09	11.18	63.66	14.87	43.42	43.84	36.07	33.29	33.73	36.01	63.13	31.3	8.54	62.94	
12.17	33.02	27.02	54.63	0.0	26.17	45.97	55.47	56.0	37.22	43.08	50.09	27.46	32.14	40.45	49.24	32.65	13.6	7.81	13.6	29.73	21.95	22.2	41.48	53.67	44.2	14.87	56.44	15.65	55.0	61.22	16.55	27.51	34.79	46.62	29.55	51.42	41.98	16.12	14.42	31.14	14.04	12.04	51.09	27.89	12.04	72.4	26.31	48.27	26.48	56.09	37.95	17.0	7.28	44.6	27.29	49.19	55.23	69.07	47.89	37.12	25.55	38.08	8.54	10.0	42.19	7.0	34.93	67.12	64.85	23.09	3.16	4.12	21.02	33.0	27.66	40.0	28.79	58.52	56.32	56.61	13.04	48.37	44.78	51.43	50.49	18.44	22.56	54.49	26.08	22.2	16.03	33.54	3.61	6.08	15.03	38.48	32.53	40.45	31.95	21.1	63.51	41.79	11.18	40.05	18.44	49.65	12.53	5.39	45.34	54.12	47.1	16.76	45.69	25.5	37.34	60.13	38.28	48.1	60.44	35.34	52.77	27.07	3.61	11.18	28.64	58.08	51.11	37.74	6.71	10.2	16.03	47.01	25.5	2.0	16.64	48.01	65.8	22.36	39.81	48.75	21.02	25.32	32.56	22.67	50.96	29.07	36.5	49.04	23.77	
18.03	54.78	49.24	50.61	26.17	0.0	52.63	53.25	41.15	39.22	21.1	34.44	15.26	19.85	59.44	24.74	7.28	15.23	26.83	27.2	12.04	47.63	22.36	22.14	29.61	18.36	11.31	38.6	12.08	40.25	63.06	26.17	45.12	51.62	43.27	31.05	43.14	23.77	33.84	12.53	39.2	36.72	36.06	25.0	27.51	35.36	70.8	17.0	28.86	16.12	36.67	34.48	34.79	23.71	40.22	32.56	25.32	30.08	68.51	47.01	15.13	32.25	16.28	23.71	20.62	43.46	21.95	30.02	43.17	40.52	17.72	29.07	24.41	17.12	54.42	39.01	43.97	29.12	50.93	38.9	57.71	37.22	47.89	22.0	49.09	32.89	30.41	14.56	58.87	17.46	48.17	38.47	56.8	27.02	21.63	37.59	37.58	41.19	24.19	48.66	46.86	39.29	38.59	25.3	60.44	44.55	28.07	32.31	21.4	50.29	29.83	31.76	41.62	42.72	41.77	60.01	43.32	13.34	53.45	62.61	35.47	28.64	17.89	25.81	22.14	30.81	41.79	50.61	13.15	29.15	32.76	39.45	32.76	50.8	27.66	10.77	33.62	60.88	15.52	38.91	25.18	9.0	15.23	17.69	33.06	30.27	54.41	20.81	42.52	13.93	
54.08	33.0	33.54	21.1	45.97	52.63	0.0	18.38	40.8	14.0	49.65	40.25	38.33	36.0	26.93	58.05	59.03	41.59	53.76	32.65	43.19	45.22	65.19	44.72	59.2	60.07	47.85	46.65	43.86	40.22	16.76	61.85	24.04	21.0	18.6	21.59	27.66	42.95	30.61	51.0	15.0	36.36	39.12	66.37	71.56	55.61	29.61	65.31	46.49	64.88	49.65	21.38	30.0	52.5	20.59	72.62	56.29	63.79	25.71	14.14	67.68	71.06	48.09	38.42	53.6	11.7	51.22	25.08	67.54	67.23	63.53	47.42	49.58	35.74	32.0	18.44	9.0	23.54	28.84	45.79	14.0	55.22	13.45	51.79	17.2	43.86	27.66	61.27	8.94	35.51	47.43	35.36	38.0	42.43	49.82	35.85	17.26	13.45	39.81	21.21	45.54	65.92	19.31	56.73	30.81	47.93	51.24	58.05	48.41	3.61	60.17	39.0	40.72	18.03	23.26	37.22	46.4	54.0	3.0	15.81	18.0	58.94	35.36	49.52	55.61	21.84	44.41	13.89	53.0	52.35	37.8	37.12	37.16	44.15	47.38	52.33	37.58	28.64	61.72	16.49	55.32	43.97	37.66	39.0	23.43	49.98	45.54	39.2	24.21	61.74	
60.44	50.49	50.01	4.12	55.47	53.25	18.38	0.0	26.93	18.38	42.95	29.02	38.01	33.62	45.22	50.36	58.18	46.86	62.77	42.05	41.68	60.41	70.77	38.08	50.01	54.82	52.35	33.73	48.1	26.68	12.04	69.4	40.0	38.64	10.0	26.08	14.04	35.9	42.72	55.9	26.48	49.48	51.92	59.84	77.1	66.71	17.69	68.77	37.05	68.12	37.48	19.1	42.45	60.75	13.04	79.65	48.26	55.04	15.26	7.62	67.12	78.41	43.32	47.01	60.8	13.6	59.08	23.43	55.32	55.73	67.9	57.7	58.31	38.9	49.5	31.4	17.12	27.2	11.4	32.76	7.62	66.85	7.28	44.72	4.24	33.02	37.7	65.12	14.21	36.24	62.51	49.03	55.44	52.33	57.69	49.24	17.2	26.17	33.24	38.21	60.53	54.59	14.87	64.9	49.04	62.17	42.05	68.0	56.3	15.52	51.01	29.07	54.92	10.63	38.12	55.11	31.95	49.98	15.65	12.17	20.25	50.04	35.61	58.67	63.01	26.93	30.36	5.0	49.04	62.18	49.65	50.99	27.07	60.07	57.25	56.57	27.02	11.05	65.8	15.81	47.27	46.1	38.42	36.24	33.84	40.0	62.0	34.54	12.17	65.19	
55.32	65.86	63.07	22.8	56.0	41.15	40.8	26.93	0.0	30.61	22.63	6.71	29.43	24.19	64.03	27.29	43.01	43.19	61.29	45.71	29.73	69.64	62.97	19.42	25.3	34.21	46.1	7.0	42.58	1.0	38.83	64.76	53.71	55.8	22.2	31.38	13.42	17.49	50.0	49.48	39.12	56.75	58.25	37.12	68.54	68.01	39.32	58.14	14.21	57.25	11.05	23.32	50.29	58.42	20.52	73.05	25.06	30.36	39.01	26.93	51.09	72.42	25.81	48.09	56.89	29.73	56.44	23.41	28.44	29.07	58.69	59.01	57.14	35.01	65.0	43.42	33.94	30.68	17.0	6.0	34.48	69.01	27.78	23.43	25.08	9.22	43.68	55.54	40.31	30.07	71.31	57.28	70.24	54.08	55.33	57.01	26.4	40.22	17.09	54.08	69.38	28.02	22.67	61.81	67.2	69.43	18.36	67.27	54.23	37.2	26.25	9.49	63.06	22.8	50.54	71.34	5.66	31.89	39.12	39.05	28.3	25.63	29.07	58.08	59.03	32.31	3.61	28.64	31.24	62.07	54.92	59.2	9.06	70.84	58.0	49.04	8.06	27.29	56.46	26.25	24.19	38.08	31.26	24.74	41.79	15.65	73.74	20.88	16.64	55.04	
43.14	35.85	33.96	18.25	37.22	39.22	14.0	18.38	30.61	0.0	35.9	28.43	24.52	22.0	33.42	44.38	45.35	29.83	44.65	23.71	29.27	43.0	53.91	31.05	45.88	46.1	35.81	35.38	31.62	29.83	24.84	51.74	24.04	25.24	11.05	8.6	19.31	29.41	24.52	39.2	9.22	31.4	33.73	52.47	60.31	48.33	35.23	53.0	33.54	52.48	37.8	8.06	24.33	42.8	10.77	62.24	42.72	50.29	32.02	10.77	54.12	60.88	34.13	28.84	43.19	5.0	41.23	11.18	55.23	54.59	51.61	39.36	40.22	22.83	34.93	14.14	5.0	10.3	24.08	34.66	19.8	48.47	11.18	38.08	14.56	31.62	19.31	49.09	19.7	21.84	45.01	31.14	40.5	34.0	39.82	31.26	4.24	9.85	26.25	23.71	43.01	53.24	8.06	47.01	36.62	44.28	38.08	49.74	38.42	11.18	46.82	26.63	37.12	10.05	21.38	41.15	36.24	40.0	14.32	24.21	4.0	45.54	21.59	40.5	45.34	9.22	34.06	13.89	39.0	43.91	31.32	33.14	25.0	43.19	38.95	40.22	25.61	29.12	49.65	4.47	41.76	30.87	24.04	25.0	15.52	37.12	45.54	25.32	15.81	49.4	
