50
0.0	3.0	8.06	14.87	12.21	17.49	7.62	15.03	2.24	7.07	13.89	9.22	16.49	16.16	6.0	19.85	13.04	3.61	17.09	13.04	7.28	4.12	22.14	19.21	6.0	7.07	23.32	8.0	6.08	2.0	7.07	21.59	17.26	18.03	7.81	16.64	18.25	14.04	10.2	18.79	12.04	9.22	14.87	2.0	21.21	9.49	21.54	13.0	13.6	20.22	
3.0	0.0	8.25	12.08	9.9	15.0	7.0	15.13	2.83	4.12	12.65	7.62	13.6	15.3	3.0	18.03	10.63	6.32	14.32	13.6	4.47	1.41	19.31	16.97	6.71	8.06	20.81	5.0	7.21	3.61	5.39	18.68	14.32	15.03	5.83	14.21	15.3	14.56	7.28	16.12	12.17	9.06	14.14	1.0	18.25	10.82	18.79	10.3	12.08	17.26	
8.06	8.25	0.0	18.38	9.06	14.04	2.24	23.0	6.0	10.82	20.88	15.81	19.21	23.54	9.43	25.94	10.05	10.77	15.13	21.1	11.66	9.49	20.02	24.41	14.04	15.13	27.59	10.63	2.83	6.08	5.0	23.85	16.76	19.24	13.93	13.04	20.25	22.09	13.45	16.0	20.0	1.41	22.36	8.06	22.83	4.12	19.0	11.4	20.25	19.65	
14.87	12.08	18.38	0.0	12.65	14.04	16.28	16.4	14.76	8.06	9.9	8.25	2.24	12.81	9.43	10.05	12.37	17.26	11.18	17.0	7.62	10.77	13.89	7.07	14.04	15.13	9.22	7.81	18.6	15.65	13.45	7.0	8.54	5.66	8.0	14.0	4.47	17.49	5.0	13.34	14.76	18.44	12.73	13.0	7.28	22.02	14.32	10.2	8.49	10.0	
12.21	9.9	9.06	12.65	0.0	5.39	7.0	23.77	10.3	8.54	19.24	14.56	12.53	22.36	8.06	22.2	1.0	15.81	6.08	22.83	9.49	10.0	11.0	19.65	16.4	17.8	21.47	7.28	11.05	11.18	5.39	16.28	8.06	11.31	12.65	4.47	12.81	23.71	9.0	7.07	21.02	8.25	21.59	10.63	14.87	13.15	10.05	2.83	18.11	10.77	
17.49	15.0	14.04	14.04	5.39	0.0	12.17	27.78	15.65	12.81	22.47	18.36	13.04	25.63	12.73	24.08	4.47	21.1	3.16	27.2	13.6	14.87	6.32	21.0	21.21	22.63	21.59	11.4	16.28	16.55	10.77	15.23	6.32	10.44	16.64	1.0	12.37	28.02	12.08	2.24	25.24	13.0	25.08	15.81	13.42	18.0	5.1	5.0	21.19	7.81	
7.62	7.0	2.24	16.28	7.0	12.17	0.0	22.09	5.39	8.94	19.42	14.32	17.03	22.2	7.62	24.17	8.0	10.82	13.04	20.4	9.85	8.06	18.0	22.47	13.34	14.56	25.5	8.6	4.12	5.83	2.83	21.63	14.56	17.0	12.37	11.18	18.03	21.38	11.4	14.04	19.1	2.24	21.1	7.07	20.59	6.32	17.03	9.22	18.68	17.46	
15.03	15.13	23.0	16.4	23.77	27.78	22.09	0.0	17.0	15.23	6.71	9.43	18.6	5.0	15.81	12.0	24.17	13.6	25.81	2.83	14.32	14.32	29.73	14.32	9.06	8.25	19.24	16.55	21.1	17.03	20.4	22.36	24.08	22.02	11.18	27.29	20.81	2.24	15.81	28.02	3.0	24.02	4.12	15.03	23.32	24.33	29.83	22.83	8.06	26.17	
2.24	2.83	6.0	14.76	10.3	15.65	5.39	17.0	0.0	6.71	15.23	10.3	16.16	17.72	5.39	20.81	11.18	5.66	15.52	15.13	7.21	4.24	20.62	19.8	8.06	9.22	23.6	7.28	4.47	1.0	5.0	21.19	16.03	17.26	8.6	14.76	17.72	16.12	9.85	17.09	14.0	7.07	16.49	2.24	20.62	8.06	19.92	11.4	14.76	19.03	
7.07	4.12	10.82	8.06	8.54	12.81	8.94	15.23	6.71	0.0	11.0	6.08	9.49	14.04	1.41	15.23	8.94	10.05	11.4	14.42	1.0	3.0	16.12	13.6	8.6	10.0	17.03	1.41	10.63	7.62	6.32	14.56	10.77	11.0	4.12	12.21	11.18	15.26	3.16	13.45	12.53	11.18	13.15	5.1	14.14	14.14	15.81	7.81	10.05	13.6	
