45
0.0	10.82	8.0	7.62	14.32	10.2	2.83	10.0	15.13	5.1	12.08	10.77	18.44	9.06	16.0	15.0	10.2	4.0	10.63	12.0	4.12	3.16	15.03	6.4	4.47	7.28	20.12	9.22	17.26	4.12	5.0	11.0	4.24	15.65	7.07	9.9	12.53	11.4	2.24	12.04	5.1	19.24	3.16	19.31	12.04	
10.82	0.0	16.64	6.08	19.24	19.42	13.6	14.32	10.0	14.87	17.46	2.24	18.68	18.03	9.22	18.0	8.06	9.22	14.14	6.71	8.6	12.04	9.22	10.77	9.43	14.76	17.49	12.17	12.04	12.81	14.21	6.32	6.71	13.93	7.28	13.15	12.17	1.0	12.81	2.0	10.05	10.44	9.22	9.06	15.03	
8.0	16.64	0.0	15.3	7.81	2.83	6.32	6.0	16.16	3.16	5.83	15.62	14.56	1.41	17.89	9.85	11.66	12.0	7.0	14.42	8.06	5.1	16.55	6.4	7.21	2.24	18.03	7.28	17.72	4.12	3.0	13.6	11.4	14.04	9.9	7.07	11.18	17.49	6.08	18.36	13.04	21.95	7.62	23.43	8.06	
7.62	6.08	15.3	0.0	20.22	17.72	10.3	15.3	15.0	12.65	18.11	7.62	21.95	16.49	14.76	19.92	11.4	4.24	15.52	11.4	8.06	10.2	14.42	11.18	9.06	14.04	21.93	13.6	17.2	11.18	12.37	10.63	4.0	17.8	8.94	14.56	15.26	6.0	9.85	6.08	4.47	16.49	8.0	15.0	16.76	
14.32	19.24	7.81	20.22	0.0	8.54	13.6	5.0	14.21	10.63	2.24	17.46	8.06	8.06	16.4	3.16	11.7	18.03	5.1	14.32	12.17	11.18	15.0	9.06	11.18	7.21	12.65	7.07	14.87	10.3	10.0	13.93	16.28	10.0	12.04	6.08	8.6	20.22	13.04	21.21	19.31	20.62	12.37	23.32	4.47	
10.2	19.42	2.83	17.72	8.54	0.0	8.0	8.25	18.79	5.1	7.07	18.44	16.12	1.41	20.59	11.18	14.42	14.14	9.22	17.2	10.82	7.62	19.24	9.22	10.0	5.0	20.02	9.85	20.25	6.71	5.39	16.4	13.93	16.28	12.73	9.49	13.6	20.25	8.06	21.1	15.03	24.7	10.3	26.25	10.05	
2.83	13.6	6.32	10.3	13.6	8.0	0.0	10.0	17.0	3.16	11.4	13.42	18.87	7.07	18.11	14.87	12.0	6.32	10.82	14.14	6.08	3.16	17.03	7.28	6.0	6.4	21.19	9.85	19.03	3.61	3.61	13.15	7.07	16.76	9.06	10.3	13.6	14.21	1.0	14.87	7.07	21.59	5.1	21.93	12.21	
10.0	14.32	6.0	15.3	5.0	8.25	10.0	0.0	10.82	7.62	3.16	12.65	8.94	7.07	12.81	5.0	7.21	13.42	1.0	10.0	7.28	7.07	11.4	4.12	6.32	4.12	12.04	2.24	12.08	6.4	6.71	9.43	11.4	8.06	7.07	1.41	5.39	15.3	9.22	16.28	14.76	17.03	7.62	19.21	2.24	
15.13	10.0	16.16	15.0	14.21	18.79	17.0	10.82	0.0	16.28	13.45	7.81	10.05	17.46	2.24	11.66	5.0	16.16	10.0	3.61	11.05	14.04	1.0	10.2	11.0	13.93	7.62	8.94	2.24	14.14	15.3	4.47	13.0	5.1	8.06	9.43	5.66	10.82	16.0	11.66	17.46	6.4	12.04	9.49	9.9	
5.1	14.87	3.16	12.65	10.63	5.1	3.16	7.62	16.28	0.0	8.49	14.21	16.55	4.0	17.72	12.21	11.4	9.06	8.54	13.93	6.4	2.83	16.49	6.08	5.83	3.61	19.42	8.06	18.11	2.24	1.0	13.0	8.94	15.13	8.94	8.25	12.04	15.62	3.0	16.4	10.0	21.54	5.66	22.47	9.85	
